dataset,phase,budget,recovery,recovery_ci_low,recovery_ci_high,denominator_ci_low
amazon,test,32,0.5514393701609326,0.37067079232606315,0.686779688833682,0.10746959651560127
amazon,test,64,0.7001862940256827,0.5499908110441429,0.7942144328209823,0.09281598421691722
amazon,test,128,0.8220137470725786,0.7090166849274874,0.8875952666504052,0.06343698366999873
amazon,test,256,0.9425469434030164,0.883906569726103,0.9759195948954278,0.04700120716615693
amazon,test,512,1.0729354819749333,1.0337707019730955,1.1381595284345376,0.02064036468021148
cifar10,audit,32,0.49878114900625314,0.3898815389884545,0.5997944101951934,0.2167106080436998
cifar10,audit,64,0.6651744072978029,0.598955728519112,0.7267735725052827,0.17430505621017095
cifar10,audit,128,0.8023984016630721,0.7486748892676647,0.8566843035972215,0.11763333737843865
cifar10,audit,256,1.1097168026401172,1.0498269427076155,1.1813647959788565,0.07533208060553673
cifar10,audit,512,1.2987381213662665,1.2312983942508917,1.380904181720554,0.04864991593711646
cifar10,test,32,0.5132514081344418,0.41758168541798785,0.6028790116548232,0.212689032373723
cifar10,test,64,0.673104514087515,0.6088324558339839,0.7340885124146079,0.1629029162854016
cifar10,test,128,0.8560239366979108,0.7973907337286703,0.9203860436740272,0.11200019271489842
cifar10,test,256,1.0806067856547108,1.0219067888335422,1.143577140650653,0.07756483492058026
cifar10,test,512,1.3394263840526028,1.2717142098452723,1.4238776313346102,0.04885679592966114
cifar10_gist512,audit,32,0.4063611443969485,0.29905854351934785,0.4990581842370708,0.1644961711007692
cifar10_gist512,audit,64,0.5425063774297705,0.4381593284336705,0.6340768625178982,0.09865652955897618
cifar10_gist512,audit,128,0.7259060096204624,0.6162842433913124,0.8194447552766468,0.08470909465158363
cifar10_gist512,audit,256,0.8644708850202873,0.7691741317561779,0.9530836341627087,0.05331693301955097
cifar10_gist512,audit,512,1.1025206538738828,1.0239428896118126,1.2008996798958262,0.03544177280849317
cifar10_gist512,test,32,0.3776261809152803,0.24807021835263263,0.4806023608078656,0.15381211480097448
cifar10_gist512,test,64,0.5358727566857979,0.4260843185992337,0.6337159026702329,0.11176412347820978
cifar10_gist512,test,128,0.6522842487864261,0.55456084584153,0.7348181565917289,0.07102623011939102
cifar10_gist512,test,256,0.8060505460593116,0.7271396611718507,0.8836609579468606,0.05745515776709724
cifar10_gist512,test,512,1.0076519371400814,0.9396798983894427,1.0715643610654475,0.03902972865304832
isolet,audit,32,0.5796880253957162,0.4627057520065007,0.683769666157688,0.36017092186641797
isolet,audit,64,0.7972030643434468,0.7362531513818142,0.8549130910884554,0.22622996454003413
isolet,audit,128,0.9271698757769857,0.8819898746670068,0.9714841082176832,0.17599296104358159
isolet,audit,256,1.150002276777117,1.1027969783440499,1.2050963715212704,0.11840583292754411
isolet,audit,512,1.2772892950480665,1.2217986648758352,1.3413624594059181,0.08054761530778907
isolet,test,32,0.5586581590859313,0.476579531401987,0.6318665469176213,0.3405519008102776
isolet,test,64,0.7749392989073726,0.7062586817130473,0.8368972178503582,0.2464447342441333
isolet,test,128,1.015926106157096,0.9680108175665348,1.0665180819165758,0.16993922743482728
isolet,test,256,1.1473778079479786,1.1070072371604118,1.1940914516005443,0.1306298259814982
isolet,test,512,1.3456761753002555,1.284003263144262,1.4174204471875729,0.07650982550583402
