dataset,phase,method,budget,mean_error,median_latency_ms,mean_kernel_evaluations,observations,error_ci_low,error_ci_high,mean_error_percent,nondominated,dominators
amazon,test,deann_median_time_ns,32,0.19179385054554207,0.8172895,32.302,1000,0.17855866446881097,0.20576899504556373,19.179385054554206,False,final:M32
amazon,test,deann_median_time_ns,64,0.12753542539214396,0.954494,65.18,1000,0.11775828628930984,0.14120848031515731,12.753542539214397,False,final:M64
amazon,test,deann_median_time_ns,128,0.07270177106936258,1.103205,133.156,1000,0.06535620976081453,0.08369412022686769,7.270177106936258,True,
amazon,test,deann_median_time_ns,256,0.043028193345016764,1.4113735,276.89,1000,0.03588110978806661,0.056107446017940175,4.3028193345016765,True,
amazon,test,deann_median_time_ns,512,0.018480008485943812,2.3898115,599.366,1000,0.014619550953919515,0.025665213363230906,1.8480008485943813,True,
amazon,test,deann_original,32,0.1981310842274241,1.583214,32.718,1000,0.18723144584139684,0.20954231846614635,19.81310842274241,False,deann_median_time_ns:M32;deann_median_time_ns:M64;deann_median_time_ns:M128;deann_median_time_ns:M256;final:M32;final:M64;final:M128;uniform_mc:M128
amazon,test,deann_original,64,0.1171208676417343,1.7821575,66.952,1000,0.1101524856139092,0.12355263911506592,11.71208676417343,False,deann_median_time_ns:M128;deann_median_time_ns:M256;final:M64;final:M128
amazon,test,deann_original,128,0.058211633140340543,2.1932895,140.572,1000,0.055308741220930345,0.06103040633096988,5.821163314034054,False,deann_median_time_ns:M256
amazon,test,deann_original,256,0.02039056927426862,3.160526,311.284,1000,0.019170757087772675,0.02153853985296876,2.039056927426862,False,deann_median_time_ns:M512;exact:M0;exact_annular:M512
amazon,test,deann_original,512,0.004709005299076702,6.3226045,794.39,1000,0.004434314868500046,0.004970203857570888,0.47090052990767023,False,exact:M0
amazon,test,exact,0,0.0,3.1184195,720.0,200,0.0,0.0,0.0,True,
amazon,test,exact_annular,32,0.10596769619728853,2.638813,32.0,1000,0.09989773726420084,0.11237480055828776,10.596769619728853,False,deann_median_time_ns:M128;deann_median_time_ns:M256;deann_median_time_ns:M512;deann_original:M128;exact_annular:M64;exact_annular:M128;exact_annular:M256;exact_annular:M512;final:M128
amazon,test,exact_annular,64,0.07335856946688003,2.5947735,64.0,1000,0.06908663060976161,0.07737215327595938,7.335856946688003,False,deann_median_time_ns:M128;deann_median_time_ns:M256;deann_median_time_ns:M512;deann_original:M128;final:M128
amazon,test,exact_annular,128,0.050290650748593485,2.595713,128.0,1000,0.04734116560544595,0.05293427221675466,5.029065074859348,False,deann_median_time_ns:M256;deann_median_time_ns:M512
amazon,test,exact_annular,256,0.03047132904998701,2.6040325,256.0,1000,0.02861516707349486,0.032275098555396085,3.047132904998701,False,deann_median_time_ns:M512
amazon,test,exact_annular,512,0.014976337467173563,2.6104835,512.0,1000,0.014116041942624122,0.015842413656775866,1.4976337467173564,True,
amazon,test,final,32,0.17233400235962082,0.679144,32.0,1000,0.16276873122942834,0.1809283695217415,17.233400235962083,True,
amazon,test,final,64,0.11358818015391439,0.929004,64.0,1000,0.10748826823675017,0.11947093787079198,11.358818015391439,True,
amazon,test,final,128,0.06763445121386859,1.5057575,128.0,1000,0.06412500794554449,0.07152132086865617,6.763445121386859,False,deann_median_time_ns:M256
amazon,test,final,256,0.03494131004400443,2.8600905,256.0,1000,0.03299417812753621,0.03703964861542938,3.494131004400443,False,deann_median_time_ns:M512;exact_annular:M256;exact_annular:M512
amazon,test,final,512,0.012603133342348196,5.785511,512.0,1000,0.011780365840402339,0.013447990143082409,1.2603133342348196,False,exact:M0
amazon,test,uniform_mc,32,0.25392162203813406,0.3717555,32.0,1000,0.21618994427210084,0.3098016837870322,25.392162203813406,True,
amazon,test,uniform_mc,64,0.20754059612339534,0.639255,64.0,1000,0.16869126685136301,0.2566985578845668,20.754059612339535,True,
amazon,test,uniform_mc,128,0.14773525773376064,1.166248,128.0,1000,0.11509310466135937,0.19232897762651777,14.773525773376065,False,deann_median_time_ns:M64;deann_median_time_ns:M128;final:M64
amazon,test,uniform_mc,256,0.10827364730388002,2.45926,256.0,1000,0.07832436640910598,0.1435461538468858,10.827364730388002,False,deann_median_time_ns:M128;deann_median_time_ns:M256;deann_median_time_ns:M512;deann_original:M128;final:M128
amazon,test,uniform_mc,512,0.047514740732144116,5.278063,512.0,1000,0.03585601178296018,0.060347522687235144,4.751474073214411,False,deann_median_time_ns:M256;deann_median_time_ns:M512;deann_original:M256;exact:M0;exact_annular:M256;exact_annular:M512;final:M256
cifar10,audit,deann_mean_relative_error,32,0.3973974969471302,0.998842,32.294,1000,0.37618940108129933,0.4197530185926823,39.73974969471302,False,deann_median_time_ns:M64;deann_median_time_ns:M128;deann_median_time_ns:M256;deann_median_time_ns:M512;deann_original:M32;deann_original:M64;deann_original:M128;deann_original:M256;deann_original:M512;final:M32;final:M64;final:M128;uniform_mc:M64;uniform_mc:M128;uniform_mc:M256
cifar10,audit,deann_mean_relative_error,64,0.20917274985885068,1.115976,65.114,1000,0.19881671446920593,0.21921680457218623,20.91727498588507,False,deann_median_time_ns:M128;deann_median_time_ns:M256;deann_median_time_ns:M512;deann_original:M128;deann_original:M256;deann_original:M512;final:M64;final:M128;final:M256;uniform_mc:M256
cifar10,audit,deann_mean_relative_error,128,0.10178545475393683,1.2242665,132.558,1000,0.09650309919983081,0.10701951677102252,10.178545475393683,False,deann_median_time_ns:M512;deann_original:M256;deann_original:M512;final:M256
cifar10,audit,deann_mean_relative_error,256,0.04297444045727921,1.4496505,275.7,1000,0.04069926187324037,0.04544214940880612,4.297444045727921,True,
cifar10,audit,deann_mean_relative_error,512,0.012783298132934098,1.945163,597.05,1000,0.011895189226511385,0.013656484666039729,1.2783298132934098,True,
cifar10,audit,deann_median_time_ns,32,0.39762601632779615,0.1202195,32.132,1000,0.37301436312996794,0.4222549984100743,39.762601632779614,True,
cifar10,audit,deann_median_time_ns,64,0.29517186304668425,0.135108,64.468,1000,0.2787518219065097,0.3119831809985677,29.517186304668424,True,
cifar10,audit,deann_median_time_ns,128,0.18089873527999653,0.1824175,129.761,1000,0.17134834191434645,0.19090205968198212,18.089873527999654,True,
cifar10,audit,deann_median_time_ns,256,0.11430691439031258,0.269754,262.672,1000,0.10792190111698574,0.12124280737972394,11.430691439031259,True,
cifar10,audit,deann_median_time_ns,512,0.07961351341814644,0.431272,533.658,1000,0.07435229831255188,0.08518798126057671,7.961351341814645,True,
cifar10,audit,deann_original,32,0.36529326929096495,0.2600935,32.198,1000,0.34488922983510295,0.387589730223994,36.5293269290965,False,deann_median_time_ns:M64;deann_median_time_ns:M128;uniform_mc:M64
cifar10,audit,deann_original,64,0.2375044428706855,0.299425,64.888,1000,0.22548671442148951,0.2512560956127622,23.75044428706855,False,deann_median_time_ns:M128;deann_median_time_ns:M256
cifar10,audit,deann_original,128,0.13548748289955428,0.3700995,131.382,1000,0.12814888428346652,0.14235050689153209,13.548748289955428,False,deann_median_time_ns:M256
cifar10,audit,deann_original,256,0.07823981141517108,0.499288,269.994,1000,0.07303013549212706,0.08379579419886704,7.823981141517108,True,
cifar10,audit,deann_original,512,0.04670137180598206,0.77404,571.09,1000,0.043420037009605394,0.0499813939448667,4.670137180598206,True,
cifar10,audit,exact,0,0.0,2.090968,1800.0,200,0.0,0.0,0.0,True,
