dataset,phase,budget,frozen_paper_frontier,rerun_original_configuration_frontier,expanded_frontier,original_configuration_dominators,expanded_dominators
amazon,test,32,True,True,True,,
amazon,test,64,True,True,True,,
amazon,test,128,True,True,False,,deann_median_time_ns:M256
amazon,test,256,False,False,False,exact_annular:M256;exact_annular:M512,deann_median_time_ns:M512;exact_annular:M256;exact_annular:M512
amazon,test,512,False,False,False,exact:M0,exact:M0
cifar10,audit,32,False,False,False,deann_original:M64;deann_original:M128;uniform_mc:M128,deann_median_time_ns:M64;deann_median_time_ns:M128;deann_median_time_ns:M256;deann_median_time_ns:M512;deann_original:M64;deann_original:M128;uniform_mc:M128
cifar10,audit,64,False,False,False,deann_original:M128;deann_original:M256,deann_median_time_ns:M128;deann_median_time_ns:M256;deann_median_time_ns:M512;deann_original:M128;deann_original:M256
cifar10,audit,128,False,False,False,deann_original:M256,deann_median_time_ns:M256;deann_median_time_ns:M512;deann_original:M256
cifar10,audit,256,False,False,False,deann_original:M512,deann_original:M512
cifar10,audit,512,True,True,True,,
cifar10,test,32,False,False,False,deann_original:M64;deann_original:M128;uniform_mc:M128,deann_median_time_ns:M64;deann_median_time_ns:M128;deann_median_time_ns:M256;deann_median_time_ns:M512;deann_original:M64;deann_original:M128;uniform_mc:M128
cifar10,test,64,False,False,False,deann_original:M128;deann_original:M256,deann_median_time_ns:M128;deann_median_time_ns:M256;deann_median_time_ns:M512;deann_original:M128;deann_original:M256
cifar10,test,128,False,False,False,deann_original:M256,deann_median_time_ns:M512;deann_original:M256
cifar10,test,256,False,False,False,deann_original:M512,deann_original:M512
cifar10,test,512,True,True,True,,
cifar10_gist512,audit,32,False,False,False,deann_original:M64;deann_original:M128;deann_original:M256;deann_original:M512;uniform_mc:M64;uniform_mc:M128;uniform_mc:M256,deann_mean_relative_error:M64;deann_mean_relative_error:M128;deann_mean_relative_error:M256;deann_median_time_ns:M64;deann_median_time_ns:M128;deann_median_time_ns:M256;deann_median_time_ns:M512;deann_original:M64;deann_original:M128;deann_original:M256;deann_original:M512;uniform_mc:M64;uniform_mc:M128;uniform_mc:M256
cifar10_gist512,audit,64,False,False,False,deann_original:M128;deann_original:M256;deann_original:M512;uniform_mc:M256,deann_mean_relative_error:M128;deann_mean_relative_error:M256;deann_median_time_ns:M128;deann_median_time_ns:M256;deann_median_time_ns:M512;deann_original:M128;deann_original:M256;deann_original:M512;uniform_mc:M256
cifar10_gist512,audit,128,False,False,False,deann_original:M256;deann_original:M512;exact:M0;uniform_mc:M512,deann_mean_relative_error:M128;deann_mean_relative_error:M256;deann_mean_relative_error:M512;deann_median_time_ns:M256;deann_median_time_ns:M512;deann_original:M256;deann_original:M512;exact:M0;uniform_mc:M512
