dataset,phase,n,budget,comparator,final_gain_percent,gain_ci_low,gain_ci_high,error_difference_percent_points,difference_ci_low,difference_ci_high
cifar10_gist512,audit_prefix100,1000,64,deann_mean_relative_error,-11.872269621025922,-23.89323245478508,-0.5697097467191422,-1.5918209605854967,-3.0950823254192428,-0.0803023353718012
cifar10_gist512,audit_prefix100,1000,64,deann_median_time_ns,21.849033758759116,13.767657978591782,29.946145676795602,4.193540106104507,2.4783019467015515,6.03157065997715
cifar10_gist512,audit_prefix100,1000,64,deann_original,10.079594807690363,0.7327378833756968,18.194213331033392,1.6813871964989568,0.121803924504115,3.1377342087788147
cifar10_gist512,audit_prefix100,1000,64,exact_annular,-33.23355893915498,-48.84777317528903,-19.45279765968026,-3.7415033632858226,-5.230710332864333,-2.327131722252427
cifar10_gist512,audit_prefix100,1000,64,uniform_mc,35.74027667226307,27.280934139513544,43.271082894737155,8.342610656806926,5.8673272456907855,11.100205186158504
cifar10_gist512,audit_prefix100,1000,128,deann_mean_relative_error,-41.04918925557301,-57.63276121765149,-25.288127060849174,-2.777134931007895,-3.8067220189308486,-1.7755815503660441
cifar10_gist512,audit_prefix100,1000,128,deann_median_time_ns,24.35967815510599,16.378572278146454,31.32358333456807,3.0731316769732757,1.990022585773769,4.0530412855341655
cifar10_gist512,audit_prefix100,1000,128,deann_original,5.875605445656484,-4.7867147267201124,14.881056766544479,0.5956805505889549,-0.4464068263101618,1.5958714973938426
cifar10_gist512,audit_prefix100,1000,128,exact_annular,-14.894982300794467,-27.27027359600126,-3.5197750357607207,-1.2370917771961907,-2.1368689083845425,-0.30957838811037197
cifar10_gist512,audit_prefix100,1000,128,uniform_mc,43.35287728226106,36.37779175797159,49.67969325027506,7.303029620219931,5.621513692090292,8.931093905181461
cifar10_gist512,audit_prefix100,1000,256,deann_mean_relative_error,-84.24513539427154,-107.57933340542637,-63.17723746393543,-2.2129437790456747,-2.6806377296417923,-1.7670704090593785
cifar10_gist512,audit_prefix100,1000,256,deann_median_time_ns,32.00378371472363,25.782052886630783,38.30066472840157,2.2779183763323365,1.7645755890383346,2.841644155948199
cifar10_gist512,audit_prefix100,1000,256,deann_original,16.894395064514313,7.411967894434252,25.39062004581328,0.9838613692463805,0.4100820818623964,1.5352442224277052
cifar10_gist512,audit_prefix100,1000,256,exact_annular,7.387944963144843,-3.1727378669575743,15.861951667230445,0.3860803589490224,-0.15031171210650168,0.8734542426211847
cifar10_gist512,audit_prefix100,1000,256,uniform_mc,57.790215319511894,51.69893487016235,63.16155728290679,6.626172746550746,5.383019064250438,7.90344129222552
cifar10_gist512,audit_prefix100,1800,64,deann_mean_relative_error,3.474382338294446,-7.403717147902092,12.52891778062854,0.6304803531350212,-1.317094394760887,2.3809431468715485
cifar10_gist512,audit_prefix100,1800,64,deann_median_time_ns,23.84394426909583,14.736800711948938,31.823018281769087,5.4841609680936045,3.188032707869384,7.762812492622409
cifar10_gist512,audit_prefix100,1800,64,deann_original,9.940521047067886,1.615899395388073,17.377970836095713,1.9333757081484326,0.29631208905757944,3.5318198525650915
cifar10_gist512,audit_prefix100,1800,64,exact_annular,-46.19981571702117,-61.19291573200351,-31.92391682612162,-5.535157161458401,-7.016084951896111,-4.1118519614015705
cifar10_gist512,audit_prefix100,1800,64,uniform_mc,28.32788375999833,19.69880232322596,36.0370258792693,6.923097407674636,4.449513604886284,9.475391593293352
cifar10_gist512,audit_prefix100,1800,128,deann_mean_relative_error,-9.876383834614755,-26.168582888951036,3.6100381513684923,-0.980778587993937,-2.4962360576754166,0.3784717206472355
cifar10_gist512,audit_prefix100,1800,128,deann_median_time_ns,29.920477079421616,22.038849762402673,37.09942458052281,4.658592800590649,3.221785459704802,6.034475021600513
cifar10_gist512,audit_prefix100,1800,128,deann_original,3.772252637894935,-9.861450871392519,15.66410055925108,0.427737991061887,-1.038018485579328,1.8660561715956288
cifar10_gist512,audit_prefix100,1800,128,exact_annular,-25.395688845883278,-45.28947704354157,-7.053082441843291,-2.20980914038392,-3.5954426660446064,-0.6810687790610421
cifar10_gist512,audit_prefix100,1800,128,uniform_mc,43.60800519899362,34.0222461298841,52.345980318483186,8.437739963688983,5.780089110832806,11.647125507052962
cifar10_gist512,audit_prefix100,1800,256,deann_mean_relative_error,-16.222518652781037,-31.577062955632428,-3.2733422773436796,-0.8475908113644869,-1.5508794423469334,-0.17898863791066072
cifar10_gist512,audit_prefix100,1800,256,deann_median_time_ns,39.30404442043114,32.5924978874947,45.389032782128545,3.932201180697316,2.985731697162688,4.921366706505246
cifar10_gist512,audit_prefix100,1800,256,deann_original,15.976391361790165,5.955279813183374,25.037134028465864,1.15461076271455,0.414451221803828,1.885699035012172
cifar10_gist512,audit_prefix100,1800,256,exact_annular,-2.5708000012868215,-18.74755808296897,10.794647234418276,-0.1521958425334334,-0.9632714227647509,0.7348166247759641
cifar10_gist512,audit_prefix100,1800,256,uniform_mc,51.20190969357816,43.625433880688796,57.75939782894915,6.371498327175952,4.865397125163294,8.099498544724606
cifar10_gist512,audit_prefix100,5000,64,deann_mean_relative_error,-4.185016057923097,-48.522172620490636,19.67358310763203,-0.9267145009790423,-9.923816160162147,4.5982653268031015
cifar10_gist512,audit_prefix100,5000,64,deann_median_time_ns,4.682398276997402,-34.00862885603893,26.34226142869502,1.1333116099048328,-7.959532224841569,6.74160666975354
cifar10_gist512,audit_prefix100,5000,64,deann_original,3.3700846603987755,-32.833656670197485,24.77706770437056,0.8046060707910779,-7.58496758678281,6.218984905003007
cifar10_gist512,audit_prefix100,5000,64,exact_annular,-103.67296880310772,-150.1597631938784,-68.23599768326058,-11.74319397064284,-18.780111888133195,-7.560154258525635
cifar10_gist512,audit_prefix100,5000,64,uniform_mc,7.686139958051708,-26.08525732172171,27.414119472432766,1.9208589271852232,-6.3628590420598705,7.210299907949333
cifar10_gist512,audit_prefix100,5000,128,deann_mean_relative_error,9.929919165640644,-0.5707881054368237,19.191399066622456,1.4576985444521684,-0.08143131726806539,2.980517385040431
cifar10_gist512,audit_prefix100,5000,128,deann_median_time_ns,23.754629069850118,13.620646040452653,32.83016050215671,4.119431932468776,2.083792043672536,6.353123731845067
cifar10_gist512,audit_prefix100,5000,128,deann_original,7.55987638930039,-0.6138189105735752,15.902084122563021,1.0813262262630352,-0.09106205760578348,2.3921027251906843
cifar10_gist512,audit_prefix100,5000,128,exact_annular,-60.69045329873561,-79.78273847758919,-40.85310707398817,-4.993819776138192,-6.1175583478217135,-3.7710770837827847
cifar10_gist512,audit_prefix100,5000,128,uniform_mc,31.427341704022737,24.35624234824101,38.16326481164735,6.059812984666172,4.335049123271472,8.09045473027021
cifar10_gist512,audit_prefix100,5000,256,deann_mean_relative_error,6.762900649516556,-3.0698675813496012,15.579703249898799,0.6403037052494537,-0.28540671558984576,1.531172698690718
cifar10_gist512,audit_prefix100,5000,256,deann_median_time_ns,28.10356646266372,19.021583655797507,35.86681092125065,3.450609798216492,2.1472655909858056,4.770120317798218
cifar10_gist512,audit_prefix100,5000,256,deann_original,3.89697347679957,-6.992128403216337,13.556106295284863,0.3579580606680968,-0.6268823867786996,1.278769476537711
cifar10_gist512,audit_prefix100,5000,256,exact_annular,-37.39574714134406,-55.477304712284145,-21.314679846311197,-2.402650969774969,-3.303828806437121,-1.493493531118381
cifar10_gist512,audit_prefix100,5000,256,uniform_mc,34.55694301172401,26.343742133979735,41.51399844055015,4.661369178889318,3.2025438608037735,6.140218405500166
cifar10_gist512,audit_prefix100,10000,64,deann_mean_relative_error,18.790261335944447,10.219875583086552,26.05893728593502,4.678099883784085,2.4279174825777896,6.881716247416096
cifar10_gist512,audit_prefix100,10000,64,deann_median_time_ns,21.989116261915598,12.575589586008032,30.396761255904295,5.6989829890929045,3.068352276594777,8.36761128069386
cifar10_gist512,audit_prefix100,10000,64,deann_original,18.8906741211186,9.548620339507194,27.145437223506402,4.708921463316881,2.275015700697739,7.220938992753638
cifar10_gist512,audit_prefix100,10000,64,exact_annular,-82.25317849983698,-102.58020231617198,-64.3516040090886,-9.124779133649781,-10.946144408273685,-7.4542437297196
cifar10_gist512,audit_prefix100,10000,64,uniform_mc,42.46604126217085,13.580042464150472,64.42593947183175,14.923211798816837,3.326734884406986,35.0179044060651
cifar10_gist512,audit_prefix100,10000,128,deann_mean_relative_error,9.691127346661121,-0.5262490492800501,18.274274219247687,1.5546854794034863,-0.08283954422690036,3.1705886771424296
cifar10_gist512,audit_prefix100,10000,128,deann_median_time_ns,18.705443264625977,8.667203267301192,28.086529158261396,3.3335363835560434,1.4088777363126759,5.487073339807712
cifar10_gist512,audit_prefix100,10000,128,deann_original,6.5864734765954,-4.090670462222985,16.91919929327433,1.0215081648629694,-0.5736720087542638,2.9205414127750804
cifar10_gist512,audit_prefix100,10000,128,exact_annular,-79.04763564633839,-96.42084274763563,-63.17587408144454,-6.396154664343938,-7.577268314830654,-5.3186458170065
cifar10_gist512,audit_prefix100,10000,128,uniform_mc,25.666708786680093,15.694074815616254,34.60024716089774,5.0024814129692174,2.704111347684658,7.55495825179495
cifar10_gist512,audit_prefix100,10000,256,deann_mean_relative_error,14.423006394700622,3.0113495895812745,24.750067001061122,1.4754676060461005,0.2862636592878588,2.7330119092700964
cifar10_gist512,audit_prefix100,10000,256,deann_median_time_ns,32.84419793725976,22.03907682384019,42.92702879948856,4.281599377112778,2.5479361143773986,6.4454529349156395
cifar10_gist512,audit_prefix100,10000,256,deann_original,15.148211570144754,6.9598507616699,23.3400633136827,1.562900283355466,0.6831445101133858,2.4721600691169385
cifar10_gist512,audit_prefix100,10000,256,exact_annular,-47.15103866339403,-67.18516712010612,-31.36111893410171,-2.805167769119304,-3.6472134003716836,-2.036463874014079
cifar10_gist512,audit_prefix100,10000,256,uniform_mc,36.59421965426867,26.99811602966098,45.22448304000255,5.052595685771931,3.35893092542344,7.031448699876604
cifar10_gist512,audit_prefix100,20000,64,deann_mean_relative_error,10.233952051164907,-1.4770017180927935,19.773623376143142,2.524561521342278,-0.34320396356207705,5.084966836013476
cifar10_gist512,audit_prefix100,20000,64,deann_median_time_ns,17.625571168172392,6.473701734322828,26.892644193399438,4.738113601180818,1.6651528389654071,7.79408576745239
cifar10_gist512,audit_prefix100,20000,64,deann_original,12.951964380188885,0.6045289831746882,22.73220532106362,3.294817411498327,0.14436329564711242,6.078971095925205
