dataset,phase,n,budget,recovery,recovery_ci_low,recovery_ci_high,denominator_ci_low
cifar10_gist512,audit_prefix100,1000,64,0.6903783465577474,0.5473876880052153,0.8140737742964194,0.09980828226803168
cifar10_gist512,audit_prefix100,1000,128,0.8551435372370138,0.746629869825955,0.9638377848682371,0.07081154978376188
cifar10_gist512,audit_prefix100,1000,256,1.0618709363528198,0.9773795184526387,1.14368140726065,0.05173172080306857
cifar10_gist512,audit_prefix100,1800,64,0.5557036396436721,0.4149422008350711,0.6649966455405352,0.09924833687800981
cifar10_gist512,audit_prefix100,1800,128,0.7924584222355338,0.6439573109696336,0.9426274525871685,0.08334137087154513
cifar10_gist512,audit_prefix100,1800,256,0.9766702977524446,0.8561123331083251,1.1227156321630878,0.05112693557766772
cifar10_gist512,audit_prefix100,5000,64,0.14057753885675814,-0.536765235598566,0.47094602666608976,0.11013878821711245
cifar10_gist512,audit_prefix100,5000,128,0.5482191344508901,0.4312722343777851,0.6637645400878648,0.09371359438744102
cifar10_gist512,audit_prefix100,5000,256,0.6598748419157215,0.5129942900531015,0.7865610257165628,0.05792711917104083
cifar10_gist512,audit_prefix100,10000,64,0.6205596068596885,0.24893770692488282,0.8091562454426705,0.126516781356403
cifar10_gist512,audit_prefix100,10000,128,0.4388666660676813,0.2830379374059555,0.5597772061308953,0.09039526052864452
cifar10_gist512,audit_prefix100,10000,256,0.643006844730969,0.4979101213844467,0.7554231164215872,0.062054028774690136
cifar10_gist512,audit_prefix100,20000,64,0.2361638249226939,0.011427401028988779,0.41711518622527455,0.10948186934302491
cifar10_gist512,audit_prefix100,20000,128,0.3205433784063156,0.14151432662496416,0.4693974285392798,0.09298781592146846
cifar10_gist512,audit_prefix100,20000,256,0.7291182814898863,0.2903857075316634,0.8833395588227787,0.06955236440195542
