dataset,phase,n,method,budget,mean_error,median_latency_ms,mean_kernel_evaluations,observations,error_ci_low,error_ci_high,mean_error_percent,nondominated,dominators
cifar10_gist512,audit_prefix100,1000,deann_mean_relative_error,64,0.13407890920589968,0.143927,66.012,500,0.12554716611130345,0.14271096996496258,13.407890920589969,False,deann_median_time_ns:M128;deann_median_time_ns:M256;deann_original:M128;deann_original:M256
cifar10_gist512,audit_prefix100,1000,deann_mean_relative_error,128,0.06765383144883572,0.1689225,136.984,500,0.0628402619586622,0.07226863766420888,6.765383144883572,False,deann_original:M256
cifar10_gist512,audit_prefix100,1000,deann_mean_relative_error,256,0.026267911716076956,0.2340165,293.428,500,0.02414247458475377,0.028589221032572547,2.6267911716076955,False,exact:M0
cifar10_gist512,audit_prefix100,1000,deann_median_time_ns,64,0.1919325198727998,0.0520475,64.824,500,0.17575033752975294,0.20840460205589273,19.19325198727998,True,
cifar10_gist512,audit_prefix100,1000,deann_median_time_ns,128,0.12615649752864747,0.057786,131.644,500,0.11715035056698271,0.13532641584576355,12.615649752864746,True,
cifar10_gist512,audit_prefix100,1000,deann_median_time_ns,256,0.07117653326985705,0.0706145,270.546,500,0.06661132970557412,0.07582481104682787,7.117653326985705,True,
cifar10_gist512,audit_prefix100,1000,deann_original,64,0.16681099077674422,0.0640255,65.46,500,0.15565659710715316,0.17826218668419733,16.68109907767442,False,deann_median_time_ns:M128
cifar10_gist512,audit_prefix100,1000,deann_original,128,0.10138198626480428,0.074643,134.232,500,0.09217096642846964,0.11139030222662659,10.138198626480428,False,deann_median_time_ns:M256
cifar10_gist512,audit_prefix100,1000,deann_original,256,0.058235963198997515,0.1018365,282.14,500,0.05334342111861097,0.06352533646147118,5.823596319899751,True,
cifar10_gist512,audit_prefix100,1000,exact,0,0.0,0.225698,1000.0,100,0.0,0.0,0.0,True,
cifar10_gist512,audit_prefix100,1000,exact_annular,64,0.11258208517889645,0.391227,64.0,500,0.10211722348709427,0.12380513228251319,11.258208517889646,False,deann_mean_relative_error:M128;deann_mean_relative_error:M256;deann_median_time_ns:M256;deann_original:M128;deann_original:M256;exact:M0;exact_annular:M128;final:M128
cifar10_gist512,audit_prefix100,1000,exact_annular,128,0.08305426298695279,0.388701,128.0,500,0.07368694960077288,0.0934905174400511,8.305426298695279,False,deann_mean_relative_error:M128;deann_mean_relative_error:M256;deann_median_time_ns:M256;deann_original:M256;exact:M0
cifar10_gist512,audit_prefix100,1000,exact_annular,256,0.05225815309602395,0.3920365,256.0,500,0.04731198667644727,0.05721821987100325,5.225815309602395,False,deann_mean_relative_error:M256;exact:M0
cifar10_gist512,audit_prefix100,1000,final,64,0.14999711881175468,0.2694085,64.0,500,0.13756785448946757,0.16326606179637645,14.999711881175468,False,deann_mean_relative_error:M64;deann_mean_relative_error:M128;deann_mean_relative_error:M256;deann_median_time_ns:M128;deann_median_time_ns:M256;deann_original:M128;deann_original:M256;exact:M0;uniform_mc:M256
