dataset,block,predicted_reduction_median_percent,ci_low,ci_high,empirical_reduction_median_percent,empirical_ci_low,empirical_ci_high,empirical_over_predicted_median
amazon,equal_C,37.43373776339787,32.85591562932065,43.83174352340878,38.967594874484575,31.358794670653655,43.646566014950864,0.9996090128436619
amazon,matched_H,34.37511757938397,30.88665357011504,38.39154850857427,34.40655925805911,30.766657527184044,38.703014656760715,0.9897487854431293
amazon,old_sizes,8.570002612769745,6.97985827148054,9.74018170028279,8.79248580508068,7.719810055209342,12.830955630808106,0.9998759916807746
cifar10,equal_C,42.08549637753627,39.73635736403592,45.00246299537901,43.31344609026217,39.550371969358075,46.89488484866688,0.9895172205892062
cifar10,matched_H,44.882357220890384,42.4262271819923,48.37304292653834,44.71297594460353,41.876719123830114,50.2763138441116,1.0042621130632754
cifar10,old_sizes,10.957160443468528,8.68494892226962,12.230904777088082,12.25538906332287,9.79742453391621,14.987382179749913,0.9889283575887404
cifar10_gist512,equal_C,39.62913413946339,37.52920111039295,41.31331616234195,39.34787096175299,37.13074298723289,42.021146166896706,1.0050756758655366
cifar10_gist512,matched_H,36.523394190795656,34.31881016668854,38.17718361939092,37.577279530755085,33.31078000887546,39.50511847542102,1.000450719694275
cifar10_gist512,old_sizes,12.235814744816697,9.731810351631234,14.019575416795565,12.962424936314632,10.23438259913057,14.090678586113027,0.9929083591757095
isolet,equal_C,37.44654837191365,31.479058834437105,40.12507086820997,34.5830418497061,31.72421042418894,41.11405684944844,0.996738940080913
isolet,matched_H,37.84249464592787,34.409419767559136,39.838650199650324,37.850337970859385,33.815241099329086,39.15525664001801,0.9945214003393917
isolet,old_sizes,-0.00029199539035018596,-0.019345025445660635,0.0015062321069905752,2.9492766513281756,0.39293450828146326,4.002215714983093,0.9774528429182543
