phase,dataset,budget,grouping,median_variance_ratio,mean_variance_ratio,median_ci_low,median_ci_high,ratio_to_matched_random_median,queries
audit,cifar10,64,approx,0.5974228926602776,0.6139022577802703,0.5772415456529787,0.6348564504926999,0.596937183947762,200
audit,cifar10,64,random,1.0000778878856371,0.999985049765022,0.9999334941471624,1.0001631366441963,1.0,200
audit,cifar10,64,ordered,0.5146847261043452,0.5290564539106613,0.4767253003478929,0.5366276226907043,0.5150561450593814,200
audit,cifar10,128,approx,0.5974228926602776,0.6139022577802704,0.5749618240945716,0.6378217313282791,0.596937183947762,200
audit,cifar10,128,random,1.0000778878856371,0.999985049765022,0.99994186831358,1.0001631366441963,1.0,200
audit,cifar10,128,ordered,0.5146847261043452,0.5290564539106613,0.4755352380043133,0.5372710973138318,0.5150561450593812,200
audit,cifar10,256,approx,0.5974228926602776,0.6139022577802704,0.5753730044579873,0.6378126533020732,0.5969371839477621,200
audit,cifar10,256,random,1.0000778878856371,0.999985049765022,0.9999418425084814,1.0001630954971472,1.0,200
audit,cifar10,256,ordered,0.5146847261043452,0.5290564539106613,0.4762898642009187,0.537786594033415,0.5150561450593814,200
audit,cifar10_gist512,64,approx,0.6470456369552784,0.6569416472848755,0.6343089884742161,0.6574974301694705,0.6469203379450867,200
audit,cifar10_gist512,64,random,1.000061569117344,0.9999803752741678,0.9998921097288691,1.0002242305754205,1.0,200
audit,cifar10_gist512,64,ordered,0.4019930812789966,0.4549228608423834,0.3894155824965702,0.4324234878198568,0.4020371498013369,200
audit,cifar10_gist512,128,approx,0.6470456369552784,0.6569416472848755,0.6337406068061122,0.6589421609244094,0.6469203379450867,200
audit,cifar10_gist512,128,random,1.000061569117344,0.9999803752741678,0.9998960810029189,1.0002253372153072,1.0,200
audit,cifar10_gist512,128,ordered,0.4019930812789966,0.4549228608423834,0.3875578855120385,0.4337404434259118,0.402037149801337,200
audit,cifar10_gist512,256,approx,0.6470456369552784,0.6569416472848755,0.6357248294587713,0.6576826095761334,0.6469203379450867,200
audit,cifar10_gist512,256,random,1.000061569117344,0.9999803752741678,0.999891670516352,1.0002271766122957,1.0,200
audit,cifar10_gist512,256,ordered,0.40199308127899647,0.4549228608423834,0.38739077256947363,0.4346337630311801,0.40203714980133676,200
audit,isolet,64,approx,0.7391489324158882,0.7316828067129922,0.7054114116639599,0.7743539412618119,0.7387119457841274,200
audit,isolet,64,random,1.0000312865017287,1.0000009525651146,0.9999050719012876,1.0002028259321443,1.0,200
audit,isolet,64,ordered,0.6763931913396479,0.6754696663457578,0.6411050375303462,0.7338639256831486,0.6765006764791439,200
audit,isolet,128,approx,0.7391489324158882,0.7316828067129922,0.7039999164463636,0.7737396868170743,0.7387119457841274,200
audit,isolet,128,random,1.0000312865017285,1.0000009525651146,0.9998993551723527,1.0002144550879277,1.0,200
audit,isolet,128,ordered,0.6763931913396479,0.675469666345758,0.6411060770195014,0.7317813363680344,0.6765006764791439,200
audit,isolet,256,approx,0.7391489324158882,0.7316828067129922,0.7058350560621982,0.7743539412618122,0.7387119457841274,200
audit,isolet,256,random,1.000031286501729,1.0000009525651146,0.9999050719012874,1.0002143645310795,1.0,200
audit,isolet,256,ordered,0.6763931913396479,0.675469666345758,0.6426993001538777,0.7331609181692234,0.6765006764791438,200
test,amazon,64,approx,0.6055952227583088,0.6373548764769139,0.5821237723043728,0.6277559159298054,0.6054717376780767,200
test,amazon,64,random,1.0000025390807565,0.9999064569734358,0.9998571300544468,1.0004108886914467,1.0,200
test,amazon,64,ordered,0.21421537778274113,0.25557980637435024,0.19467375061588665,0.2316043766695484,0.21469225102584227,200
test,amazon,128,approx,0.6055952227583088,0.6373548764769139,0.5827863998727514,0.6272901988502128,0.6054717376780767,200
test,amazon,128,random,1.0000025390807565,0.9999064569734358,0.9998571300544465,1.0004342703159494,1.0,200
test,amazon,128,ordered,0.2142153777827412,0.25557980637435024,0.19498018331989195,0.2312809828862811,0.21469225102584222,200
test,amazon,256,approx,0.6055952227583088,0.6373548764769139,0.5815830711635057,0.625875294656976,0.6054717376780768,200
test,amazon,256,random,1.0000025390807563,0.9999064569734358,0.9998569768791425,1.0004108886914462,1.0,200
test,amazon,256,ordered,0.2142153777827412,0.25557980637435024,0.1946935415630357,0.2319440469540261,0.21469225102584222,200
test,cifar10,64,approx,0.5955467054535075,0.6054345630122381,0.5718209426797751,0.6149510303979203,0.59632440198444,200
test,cifar10,64,random,1.00009045236709,0.9999702459889687,0.9999209153846784,1.00026095205259,1.0,200
test,cifar10,64,ordered,0.49151755954995047,0.5210828899285069,0.4553819045535662,0.5279977955455983,0.49153963873748363,200
test,cifar10,128,approx,0.5955467054535074,0.6054345630122383,0.5735812959532657,0.6153669884652492,0.5963244019844399,200
test,cifar10,128,random,1.0000904523670902,0.9999702459889687,0.9999218269625784,1.000263738895245,1.0,200
test,cifar10,128,ordered,0.4915175595499504,0.521082889928507,0.4539644170990618,0.5317601514591608,0.4915396387374835,200
test,cifar10,256,approx,0.5955467054535075,0.6054345630122382,0.5736403071281575,0.6170785253409692,0.59632440198444,200
test,cifar10,256,random,1.0000904523670902,0.9999702459889687,0.9999218269625785,1.0002637388952444,1.0,200
test,cifar10,256,ordered,0.4915175595499504,0.521082889928507,0.4554181813496922,0.5325693072072692,0.4915396387374836,200
test,cifar10_gist512,64,approx,0.626983848458514,0.6570667129000427,0.6192068680920353,0.6515363360760698,0.6269439594729385,200
test,cifar10_gist512,64,random,0.9999767816564975,0.9998913334797416,0.9998417495590722,1.000108416735779,1.0,200
test,cifar10_gist512,64,ordered,0.3808555640542109,0.44251935522468794,0.36310244025382216,0.3997971742054305,0.380665269443634,200
test,cifar10_gist512,128,approx,0.626983848458514,0.6570667129000427,0.6192462009899444,0.6515363360760699,0.6269439594729385,200
test,cifar10_gist512,128,random,0.9999767816564976,0.9998913334797416,0.9998417495590721,1.000108351364314,1.0,200
test,cifar10_gist512,128,ordered,0.38085556405421084,0.4425193552246878,0.363106591034896,0.401164205820677,0.38066526944363394,200
test,cifar10_gist512,256,approx,0.6269838484585138,0.6570667129000427,0.617672885073578,0.6505589507889448,0.6269439594729382,200
test,cifar10_gist512,256,random,0.9999767816564977,0.9998913334797416,0.9998289818053092,1.0001063978106108,1.0,200
test,cifar10_gist512,256,ordered,0.38085556405421084,0.442519355224688,0.363106591034896,0.3987645582415129,0.3806652694436339,200
test,isolet,64,approx,0.7388828882078102,0.7353731200658957,0.7255264451639268,0.7611734571397436,0.7386102047915519,200
test,isolet,64,random,1.0001311675489744,1.0000266023420499,0.9999181985590764,1.0003198953520003,1.0,200
test,isolet,64,ordered,0.6911249902132366,0.679350498014178,0.6661063463636364,0.7139492377034711,0.6914657266756312,200
test,isolet,128,approx,0.73888288820781,0.7353731200658956,0.7241111046091766,0.7665594849458702,0.7386102047915519,200
test,isolet,128,random,1.0001311675489741,1.0000266023420499,0.9999308148361489,1.0002829620950813,1.0,200
test,isolet,128,ordered,0.6911249902132366,0.679350498014178,0.6659666786366942,0.7138324876332979,0.6914657266756312,200
test,isolet,256,approx,0.7388828882078101,0.7353731200658956,0.7245321414393439,0.772133010804708,0.7386102047915519,200
test,isolet,256,random,1.0001311675489744,1.0000266023420497,0.9999295845904754,1.0003198953520005,1.0,200
test,isolet,256,ordered,0.6911249902132365,0.679350498014178,0.6659886733319991,0.7144079708358818,0.691465726675631,200
