phase,dataset,budget,method,comparator,mean_error_difference,difference_ci_low,difference_ci_high,relative_error_reduction,reduction_ci_low,reduction_ci_high,query_count,bootstrap_resamples,bootstrap_seed
audit,cifar10,32,final,current_approx,-0.13374610931747818,-0.16604449632385632,-0.10193992764827105,0.30629124234953875,0.2483676956317832,0.35766699645801214,200,1000,20260916
audit,cifar10,32,final,uniform_mc,-0.12080214504726268,-0.15280012954042366,-0.08975887531017086,0.28509951693116753,0.22072619218774484,0.34201072116458103,200,1000,20260916
audit,cifar10,32,final,deann,-0.06237619394955077,-0.08904109127331747,-0.0398230105151508,0.17075648305982505,0.11185202897345999,0.23344068145209995,200,1000,20260916
audit,cifar10,32,final,matched_single,-0.10539506871339753,-0.12959475354889408,-0.08161019932787403,0.2581237669464206,0.20824116439180856,0.3072930114405368,200,1000,20260916
audit,cifar10,32,final,matched_neyman,-0.18894348381113674,-0.23409672174914586,-0.1505373518091746,0.38414034281723297,0.32564376403997886,0.4452521628842218,200,1000,20260916
audit,cifar10,64,final,current_approx,-0.10205747999479556,-0.12248818392190748,-0.08234065228730036,0.34599039782627294,0.294745556188009,0.3929143714345299,200,1000,20260916
audit,cifar10,64,final,uniform_mc,-0.13047573680735475,-0.15479520535341526,-0.10882228921318157,0.40346217497456516,0.35776945827211726,0.4481189938300307,200,1000,20260916
audit,cifar10,64,final,deann,-0.04458992180422573,-0.059349157110826965,-0.029507513343506247,0.1877435270905803,0.12841581042417027,0.24330627609984193,200,1000,20260916
audit,cifar10,64,final,matched_single,-0.06469516819827724,-0.08146368511325505,-0.048684143336608005,0.2511363931338473,0.19602522102627765,0.30382072752887823,200,1000,20260916
audit,cifar10,64,final,matched_neyman,0.0071405118211705565,-0.004994836763846262,0.020523868152968226,-0.03843654906398952,-0.11424227748634105,0.02583395737932019,200,1000,20260916
audit,cifar10,128,final,current_approx,-0.1067899967600495,-0.1257863833693814,-0.09067149663203136,0.4793636377502388,0.43293049053903954,0.523526020825911,200,1000,20260916
audit,cifar10,128,final,uniform_mc,-0.1061288851508343,-0.12233313718858059,-0.09037801698300603,0.47781398448910406,0.43054220996029224,0.5197328226847513,200,1000,20260916
audit,cifar10,128,final,deann,-0.019502975399666743,-0.02789345699296586,-0.009957202702858074,0.14394669516537983,0.07672531737167257,0.19874445092339404,200,1000,20260916
audit,cifar10,128,final,matched_single,-0.03215457032950817,-0.040976033421035084,-0.02359613958221484,0.21705663894127225,0.16530048460337923,0.26656399358362326,200,1000,20260916
audit,cifar10,128,final,matched_neyman,0.012651496105180151,0.005498921036684537,0.020503184275462875,-0.12243421472402893,-0.20754493919584568,-0.051825309136030014,200,1000,20260916
audit,cifar10,256,final,current_approx,-0.0822949887259305,-0.09272198441055218,-0.07216075094608836,0.585389117608283,0.5474408979470101,0.6191037917675439,200,1000,20260916
audit,cifar10,256,final,uniform_mc,-0.09583519006876717,-0.1075004204189554,-0.08313624189547737,0.6218142804958349,0.5830905812883165,0.6527881249249277,200,1000,20260916
audit,cifar10,256,final,deann,-0.019953114813294183,-0.026359191482599745,-0.013636393428364852,0.2550250882816567,0.1841848889078845,0.3206495489560015,200,1000,20260916
audit,cifar10,256,final,matched_single,-0.021845327592673068,-0.026189648628117422,-0.01720061392590139,0.27261669491382745,0.22039841590033846,0.31793995522347107,200,1000,20260916
audit,cifar10,256,final,matched_neyman,0.008244786552258023,0.0044783435575501095,0.012072694936211319,-0.1647576310353247,-0.24891309796631245,-0.08796014514642896,200,1000,20260916
audit,cifar10,512,final,current_approx,-0.07102733050050833,-0.08008599097991857,-0.06316730130918943,0.7318665844820891,0.7018027037268273,0.7608795548264842,200,1000,20260916
audit,cifar10,512,final,uniform_mc,-0.0720085307195827,-0.08112670359710858,-0.06445079633180112,0.734550360101434,0.7056539550502472,0.7629148056175971,200,1000,20260916
audit,cifar10,512,final,deann,-0.020679141626286132,-0.024188451312629533,-0.017228798884436534,0.4427951648229166,0.386783056509775,0.49005873858881965,200,1000,20260916
