phase,dataset,budget,recovery,ci_low,ci_high,denominator,denominator_ci_low,denominator_ci_high,denominator_stable,reduction_vs_MC,exact_reduction_vs_MC
audit,cifar10,32,0.4987811490062542,0.3942340381474059,0.604962027644332,0.24219468856820797,0.21702981607466817,0.26716032407873413,True,0.28509951693116753,0.5715924058060035
audit,cifar10,64,0.6651744072978032,0.6047742946457375,0.7259873984786689,0.19615267120302754,0.17340005051100213,0.21809881436880954,True,0.40346217497456516,0.6065509594898355
audit,cifar10,128,0.8023984016630727,0.7417683415536391,0.8535274283222081,0.1322645769618542,0.11789896953944246,0.14815851792932658,True,0.47781398448910406,0.595482223666914
audit,cifar10,256,1.1097168026401174,1.0450348784391088,1.1845166983282185,0.08636004234662979,0.07460181582993813,0.09822713298536943,True,0.6218142804958349,0.560336005561493
audit,cifar10,512,1.2987381213662665,1.2238678800985234,1.3853568843777118,0.05544499659702763,0.04855035242569221,0.06390153777333359,True,0.734550360101434,0.5655877409132262
audit,cifar10_gist512,32,0.40636114439694915,0.3057411535259391,0.49308992864409606,0.18711236751123947,0.1647222515283235,0.21120852072849314,True,0.22532310695754965,0.5544897932895015
audit,cifar10_gist512,64,0.5425063774297691,0.44055295145520573,0.6325427959613786,0.11458831259715899,0.0991858223089451,0.13161525517162675,True,0.2730892519319126,0.5033844085404613
audit,cifar10_gist512,128,0.7259060096204629,0.6219982508248428,0.8250726785817653,0.0998680620440634,0.08476218165471838,0.11768648927997881,True,0.3999417998475068,0.5509553503443438
audit,cifar10_gist512,256,0.8644708850202878,0.7765011392843083,0.958184472243988,0.06370018474487929,0.053888637609970376,0.07416713855513019,True,0.46016031127040624,0.5323028447159409
audit,cifar10_gist512,512,1.1025206538738832,1.0150954436609365,1.2054076785446082,0.04050678789943528,0.035207467863574524,0.04641000121022105,True,0.5794888620879517,0.525603633865565
audit,isolet,32,0.5796880253957155,0.45512401336621144,0.6806161464102686,0.4521020288584026,0.3578995159214278,0.5741453988418356,True,0.41905344238181674,0.7228947710205953
audit,isolet,64,0.7972030643434463,0.7384918918440627,0.8586338174830483,0.2634946434751908,0.2295051538811641,0.30147461244614926,True,0.5175847392474586,0.6492508150024819
audit,isolet,128,0.9271698757769856,0.8784134668904786,0.9704302508603075,0.20475374714706518,0.1730190468987485,0.24159185867666624,True,0.6195266540840626,0.6681910945013045
audit,isolet,256,1.150002276777117,1.10444239820487,1.199769351165466,0.13555463948256224,0.117058780575843,0.15552228783617503,True,0.7335189655608374,0.6378413159463695
audit,isolet,512,1.2772892950480663,1.2240414953495165,1.3394186752091741,0.09209496233141728,0.08046052761875457,0.10562897574324209,True,0.8279555424090512,0.6482130129947532
test,amazon,32,0.551439370160933,0.37225649320581344,0.6915447187387076,0.14795392584084552,0.10937952398548158,0.20264793813046894,True,0.32131024929519547,0.5826755699387653
test,amazon,64,0.7001862940256836,0.5513337274356939,0.8007024328259342,0.13418202665651532,0.09087648007332111,0.1885476569395858,True,0.45269416068180035,0.6465338789753502
test,amazon,128,0.8220137470725789,0.7106066149851386,0.8855786459539726,0.09744460698516716,0.06248036726299279,0.13837924573889784,True,0.5421915374070337,0.6595893795425315
test,amazon,256,0.9425469434030167,0.8834161831181843,0.9772070196247835,0.07780231825389301,0.04544206013838569,0.11513745603683678,True,0.6772870323104716,0.7185711407276565
test,amazon,512,1.072935481974933,1.0325403302767877,1.1382352423109348,0.03253840326497056,0.021193433052377066,0.045563740129612444,True,0.7347531913644206,0.6848064992798762
test,cifar10,32,0.5132514081344417,0.416560305270169,0.6024250275096651,0.24612887109992754,0.20920445534175283,0.28787554898632123,True,0.29966105629695683,0.5838484835066702
test,cifar10,64,0.6731045140875149,0.604632007463475,0.7338951503023297,0.18174286003382628,0.16399617505346573,0.201802142110156,True,0.39266549948898044,0.5833648285976689
test,cifar10,128,0.8560239366979102,0.7960527162533676,0.9104070947446947,0.1255858964277837,0.11257144024395829,0.1399987703850041,True,0.4888831425530772,0.5711091963607129
test,cifar10,256,1.0806067856547108,1.0246924852883468,1.1406160171177742,0.0868775720976545,0.07827822750983585,0.09548573061113667,True,0.6140054978708276,0.5682043700094093
test,cifar10,512,1.3394263840526024,1.2645896987802379,1.4245605332039089,0.055594925359338694,0.048959221865991505,0.06293307357848947,True,0.7473365873421198,0.5579527148636264
test,cifar10_gist512,32,0.3776261809152805,0.2476762440443533,0.48371949259574554,0.17970325857362024,0.15540653400228352,0.20817634410157618,True,0.21131874145942697,0.5595976977741272
test,cifar10_gist512,64,0.5358727566857969,0.4170978447587559,0.6257661269411063,0.13178303810953873,0.11210254509031596,0.1533494248944761,True,0.2952191425921178,0.5509127659669706
test,cifar10_gist512,128,0.6522842487864263,0.5647535557106973,0.7394251819652053,0.0818783827907359,0.07190012407759153,0.09406844572452583,True,0.3361059484994856,0.5152752793353668
test,cifar10_gist512,256,0.8060505460593121,0.7278774104221755,0.8753041053396369,0.0651064487410768,0.056658116967682026,0.07355693566266899,True,0.4534744037500996,0.5625880485623185
test,cifar10_gist512,512,1.0076519371400816,0.9435829578833724,1.079405823912832,0.045261491036369866,0.038238471902962,0.05228877006660205,True,0.5823842064197543,0.5779616799752081
test,isolet,32,0.5586581590859308,0.4742316415573177,0.6332026268211836,0.38204124069934875,0.3380062571396215,0.43099878756248977,True,0.37741371913440847,0.6755718376187825
test,isolet,64,0.774939298907373,0.7046923638799317,0.8329938691226021,0.29570062759373633,0.25409816120234135,0.34631394196648874,True,0.5218968488104379,0.6734680374918232
test,isolet,128,1.0159261061570957,0.9714554293047741,1.0679982156995522,0.1941172306336561,0.1700442183646973,0.21947938471595124,True,0.6418811938244893,0.631818780848647
test,isolet,256,1.1473778079479788,1.1044517282700153,1.1943528818657818,0.15152339956562527,0.13012975588205405,0.1755076673143455,True,0.7664914711015993,0.6680375598970548
test,isolet,512,1.3456761753002546,1.2801831126384995,1.4227028765220915,0.08715982686393832,0.07547366486147919,0.09913902351780184,True,0.8420248140167692,0.6257261809877046
