phase,dataset,method,budget,mean_relative_error,median_query_mean_error,p90_query_mean_error,se_query_cluster,median_latency_ms,p90_latency_ms,mean_actual_samples,mean_kernel_evaluations,mean_full_dimension_distances_or_dots,low_dim_score_evaluations,observations,queries
audit,cifar10,current_approx,32,0.43666318465889237,0.38034182517800086,0.6846953107241108,0.017445493956785445,1.5826215,1.6499648999999998,32.0,32.0,92.0,0.0,1000,200
audit,cifar10,current_approx,64,0.2949720010612554,0.2758364137093833,0.45710316529451284,0.01001166899627321,1.659679,1.7062416999999999,64.0,64.0,124.0,0.0,1000,200
audit,cifar10,current_approx,128,0.22277450425993703,0.1931412490576246,0.36318195299428124,0.009141478644110747,1.8202725,1.8666852,128.0,128.0,188.0,0.0,1000,200
audit,cifar10,current_approx,256,0.1405816853278074,0.12297299216000294,0.21641066580960525,0.005246816080324866,2.15229,2.2225531000000003,256.0,256.0,316.0,0.0,1000,200
audit,cifar10,current_approx,512,0.09704956068020425,0.0801531354921321,0.15993621191717125,0.0041543393810161144,2.7753385,2.9273407999999996,512.0,512.0,572.0,0.0,1000,200
audit,cifar10,deann,32,0.365293269290965,0.35187949995469087,0.5360825217433247,0.010546141504346584,0.2715475,0.335828,32.0,32.198,372.988,0.0,1000,200
audit,cifar10,deann,64,0.23750444287068553,0.22249481796416226,0.3558326860283082,0.006751257794992931,0.317757,0.3839993,64.0,64.888,405.678,0.0,1000,200
audit,cifar10,deann,128,0.13548748289955428,0.12737485378483773,0.2067126826586858,0.0037305859353328245,0.385871,0.455121,128.0,131.382,472.172,0.0,1000,200
audit,cifar10,deann,256,0.07823981141517108,0.06999868488757745,0.12517337554025054,0.0027776530502802185,0.52366,0.6007842,256.0,269.994,610.784,0.0,1000,200
audit,cifar10,deann,512,0.04670137180598206,0.04472564371934677,0.06948681096580335,0.0016254019982916194,0.8192275,0.9180418,511.99,571.09,911.88,0.0,1000,200
audit,cifar10,exact,0,0.0,0.0,0.0,0.0,1.9898075,2.1871026000000002,1800.0,1800.0,1800.0,0.0,200,200
audit,cifar10,exact_annular,32,0.18152453182046885,0.16377079242030934,0.27425065500109613,0.009674018037824373,1.998495,2.1701166,32.0,32.0,1800.0,0.0,1000,200
audit,cifar10,exact_annular,64,0.127237586670787,0.11758532342478342,0.19253749441257736,0.0041866361447663565,1.98485,2.0557235,64.0,64.0,1800.0,0.0,1000,200
audit,cifar10,exact_annular,128,0.08984881568886761,0.08276270306353725,0.14226134664595994,0.0026762391748605487,1.9882825,2.0553941,128.0,128.0,1800.0,0.0,1000,200
audit,cifar10,exact_annular,256,0.06776184432401425,0.06102008658900085,0.10335692248307035,0.0024955170713778416,1.9943845,2.0640927,256.0,256.0,1800.0,0.0,1000,200
audit,cifar10,exact_annular,512,0.042585764302251,0.038530738507698156,0.06725079628768185,0.0015492183429032629,2.005056,2.0659631000000003,512.0,512.0,1800.0,0.0,1000,200
audit,cifar10,final,32,0.30291707534141415,0.2919089304954523,0.46707948421112855,0.009967329377095364,0.4384205,0.4845806,32.0,32.0,96.0,1800.0,1000,200
audit,cifar10,final,64,0.1929145210664598,0.18318290229108672,0.306439559312353,0.005676405613654624,0.519205,0.5420753,64.0,64.0,128.0,1800.0,1000,200
audit,cifar10,final,128,0.11598450749988756,0.11183066603978076,0.16337753025172333,0.003174490807569356,0.6854295,0.7147403,128.0,128.0,192.0,1800.0,1000,200
audit,cifar10,final,256,0.058286696601876915,0.05448188620213365,0.09268090135983696,0.0017588624473465326,1.0037595,1.0553359,256.0,256.0,320.0,1800.0,1000,200
audit,cifar10,final,512,0.026022230179695925,0.02435675197142843,0.039706416055570015,0.000845560094982924,1.668353,1.8153669,512.0,512.0,576.0,1800.0,1000,200
