phase,dataset,projection_seed,budget,final_error_percent,matched_single_error_percent,recovery,matched_gain_percent,matched_gain_ci_low,matched_gain_ci_high,mc_error_reduction_percent,queries,sampling_seeds
audit,cifar10,20260916,64,19.291452106645977,25.760968926473705,0.6651744072978034,25.113639313384738,19.81202442723886,30.654178364702844,40.34621749745653,200,5
audit,cifar10,20260916,128,11.598450749988755,14.813907782939573,0.8023984016630725,21.705663894127227,16.542238862976543,27.17095247089422,47.781398448910394,200,5
audit,cifar10,20260916,256,5.828669660187691,8.013202419454998,1.1097168026401167,27.261669491382744,22.427398931321918,32.17134138479906,62.18142804958349,200,5
audit,cifar10,20260917,64,20.266642293874707,26.462466206693392,0.6154585313299783,23.413629948260528,17.58713385483677,28.946343863374203,37.33069627044032,200,5
audit,cifar10,20260917,128,11.675253465918292,15.078654332379807,0.7965916529708896,22.57098539060659,15.696381989195398,28.273266949831598,47.435616886560794,200,5
audit,cifar10,20260917,256,6.246436571139336,7.988382672384738,1.0613417787749335,21.805992184966094,16.429188145340976,26.987371774529667,59.47080128542761,200,5
audit,cifar10,20260918,64,18.76696797257472,25.80280346740747,0.6919129742953637,27.267717260723202,20.916947820255675,32.964300044645015,41.96804784423187,200,5
audit,cifar10,20260918,128,10.366094311139292,14.57040666715161,0.8955719835212658,28.85514764313868,23.717664486842647,33.823455794499765,53.32971962010321,200,5
audit,cifar10,20260918,256,5.429120210659319,7.139642630553474,1.1559823484494471,23.958095781630917,18.237215935592626,29.523216466082353,64.77385316297573,200,5
audit,cifar10_gist512,20260916,64,16.5470909739481,21.615846453826407,0.542506377429769,23.449257426516567,17.533018549632747,28.96312055699154,27.308925193191257,200,5
audit,cifar10_gist512,20260916,128,10.876861351001388,13.973761235697598,0.7259060096204624,22.162249894357867,17.173210336439627,27.299533868661285,39.99417998475066,200,5
audit,cifar10_gist512,20260916,256,6.460211183549857,7.95981364595151,0.8644708850202876,18.839667975950334,13.03435511872829,24.0668397478429,46.01603112704063,200,5
audit,cifar10_gist512,20260917,64,16.687117683684118,20.38113273889358,0.5302863956041975,18.124679832736312,11.892388344374591,23.76633582223295,26.693790360827208,200,5
audit,cifar10_gist512,20260917,128,10.305718136420506,13.827401659684293,0.7830957861006433,25.468874123558184,20.215729784198054,30.576835546405412,43.14508131842594,200,5
audit,cifar10_gist512,20260917,256,6.190965826372762,7.661661603657373,0.9067384794166664,19.195519893263878,13.779042970096473,24.883671602348862,48.26594720068983,200,5
audit,cifar10_gist512,20260918,64,16.909179206336674,22.452352732868153,0.5109073230251969,24.688608772909525,17.601071182654305,30.523417420579207,25.71827806200292,200,5
audit,cifar10_gist512,20260918,128,10.496643702442512,14.170807483616892,0.7639780058900122,25.927695266639837,20.326872769577182,31.12104221962152,42.09177698905049,200,5
audit,cifar10_gist512,20260918,256,6.232869011920181,7.848606810792763,0.9001602904027345,20.58630070053644,14.782951641232414,26.566168151600394,47.915788328170315,200,5
audit,isolet,20260916,64,19.5785410201597,26.40212707322428,0.797203064343446,25.84483452465737,20.362191734480476,30.550086972105188,51.75847392474587,200,5
audit,isolet,20260916,128,11.658841895223375,15.013412076598554,0.9271698757769855,22.343822738363095,17.23717305570809,26.983753200167776,61.95266540840626,200,5
audit,isolet,20260916,256,5.663280137120841,7.231955827595147,1.150002276777117,21.690891480402474,16.138426210655563,26.77532912564326,73.35189655608373,200,5
audit,isolet,20260917,64,20.856065579436095,25.78732316071265,0.7487191732697105,19.12279747123732,12.459542881581639,24.945228853725823,48.610653345334434,200,5
audit,isolet,20260917,128,11.195702148483768,14.443011150568491,0.9497892296688073,22.483601018039135,16.74494426147175,27.919972650555657,63.46407049179514,200,5
audit,isolet,20260917,256,5.609512956863968,6.892945889780153,1.153968734912531,18.619512664665915,12.153044317741818,24.32934447772842,73.60489364375759,200,5
audit,isolet,20260918,64,20.66371198898235,26.206917082505925,0.7560192681755052,21.151687075866953,14.90977908834035,26.387744394323327,49.0846126020527,200,5
audit,isolet,20260918,128,11.405491675156446,14.321676629490007,0.9395432864518564,20.3620360225757,15.23818776873768,25.840180386604867,62.779445690561865,200,5
audit,isolet,20260918,256,5.4916786086262235,6.944090799495674,1.1626614914782627,20.91580068300567,15.141583634002117,26.449647960478107,74.15935357246639,200,5
test,amazon,20260916,64,11.358818015391439,14.035060089589408,0.7001862940256833,19.06826231676121,13.281897457109501,24.406834442225044,45.269416068180014,200,5
test,amazon,20260916,128,6.763445121386859,8.213688646071855,0.8220137470725781,17.65642194604694,12.466705607778897,22.75281707895645,54.21915374070336,200,5
test,amazon,20260916,256,3.494131004400443,4.282886138566613,0.9425469434030167,18.41643949073437,12.457005357065349,23.935191736090108,67.72870323104716,200,5
