dataset,phase,n,budget,anchor,single_error,multi_error,relative_reduction,ci_low,ci_high,queries
amazon,test,720,32,O,0.20537124657927322,0.15826465026200706,0.22937288983676218,0.17012905055624852,0.28035706282133604,200
amazon,test,720,32,T,0.1991050689038819,0.15465702552607952,0.2232391351084071,0.17051382340327048,0.27424842175534325,200
amazon,test,720,64,O,0.11720689928154578,0.08437768880887887,0.2800962287536247,0.23155622208874385,0.32459392872275644,200
amazon,test,720,64,T,0.14686300323471346,0.11900532113797993,0.18968481838963858,0.12864184391737657,0.2593809988407068,200
amazon,test,720,128,O,0.05399408649350386,0.04199953458011232,0.22214565876273562,0.17134460208959781,0.27013671785268484,200
amazon,test,720,128,T,0.08157879859305278,0.06634270463390762,0.18676536332863647,0.12701652812675704,0.24719259331801835,200
amazon,test,720,256,O,0.020060255800802503,0.01613881126676049,0.19548327663324894,0.1457154327118464,0.25096434034105836,200
amazon,test,720,256,T,0.04863664249913386,0.040680702497407316,0.16357913690008985,0.10806252312812915,0.2229611606839226,200
amazon,test,720,512,O,0.004750430794415489,0.004058693394136731,0.14561571996627154,0.08777215359581479,0.20239826840339536,200
amazon,test,720,512,T,0.01954834598476551,0.017239825972953003,0.11809285622484844,-0.010755758539825763,0.2383739395006513,200
cifar10,test,1800,32,E,0.36899981839719986,0.25920749144786653,0.2975403278685367,0.25349485373513597,0.3412744901208135,200
cifar10,test,1800,32,T,0.38990161516128696,0.2940896357679439,0.24573373299238432,0.1754849227529231,0.31059751493367244,200
cifar10,test,1800,64,E,0.20706682396298404,0.13909900670091832,0.32824098018819214,0.2762105818464656,0.3690718870264321,200
cifar10,test,1800,64,T,0.2882065057428226,0.20634909245468136,0.28402347503281433,0.22622731761641449,0.335659954869088,200
cifar10,test,1800,128,E,0.10007787275257556,0.06658486107968704,0.3346695003769108,0.2869641711559972,0.3795851203494165,200
cifar10,test,1800,128,T,0.18123217632189625,0.14344798005068468,0.20848503305561494,0.15254038056765423,0.26550681021771005,200
cifar10,test,1800,256,E,0.041967580260528034,0.028120457496142847,0.3299480856038033,0.27805646110222915,0.37568727851593314,200
cifar10,test,1800,256,T,0.1266616134685227,0.10209654552536733,0.1939424839970174,0.134522780900387,0.24911452906869203,200
cifar10,test,1800,512,E,0.012733092537355656,0.008915968735236908,0.29977978962457685,0.24997377782118535,0.3499784325790849,200
cifar10,test,1800,512,T,0.08053602689042616,0.06103548894248359,0.24213434286340152,0.18812381402490158,0.2966230696769801,200
isolet,test,1800,32,E,0.38369534233439934,0.28074409304570774,0.268315087335533,0.21484336309245533,0.3178996767812316,200
