dataset,phase,n,anchor,budget,median_variance_ratio,mean_variance_ratio,queries
amazon,test,720,O,32,0.6131553134564536,0.6206887466068169,200
amazon,test,720,O,64,0.618244460819179,0.6248042302615797,200
amazon,test,720,O,128,0.6489088879323035,0.6497081988922869,200
amazon,test,720,O,256,0.7031483049975746,0.700926220202571,200
amazon,test,720,O,512,0.7941992698501661,0.7971301997464163,200
amazon,test,720,T,32,0.5325856306206745,0.5568253431798912,200
amazon,test,720,T,64,0.6008921432359975,0.6180237865261424,200
amazon,test,720,T,128,0.603792398215683,0.6194429119455761,200
amazon,test,720,T,256,0.6031983378095271,0.6193554661694264,200
amazon,test,720,T,512,0.622623188762045,0.6320767742315253,200
cifar10,test,1800,E,32,0.48912887064258753,0.49004150501305593,200
cifar10,test,1800,E,64,0.456686372808623,0.4605513557130051,200
cifar10,test,1800,E,128,0.4438114691358236,0.4420387008753574,200
cifar10,test,1800,E,256,0.4396275638631886,0.4403059613276055,200
cifar10,test,1800,E,512,0.460014356875008,0.4610097460840135,200
cifar10,test,1800,T,32,0.4995687104404725,0.5036922414492768,200
cifar10,test,1800,T,64,0.5673943549312996,0.5764205077107643,200
cifar10,test,1800,T,128,0.582607260035999,0.587992114785927,200
cifar10,test,1800,T,256,0.603899287799832,0.6070719821592212,200
cifar10,test,1800,T,512,0.603757971569113,0.6146760522727583,200
isolet,test,1800,E,32,0.5823081554362646,0.5919397322432631,200
isolet,test,1800,E,64,0.5557800364290775,0.556489433543578,200
isolet,test,1800,E,128,0.5318582607863045,0.5319404226645054,200
isolet,test,1800,E,256,0.5365907558228395,0.5499339615711942,200
isolet,test,1800,E,512,0.6648532431373966,0.6479824838857786,200
isolet,test,1800,T,32,0.5730089379940366,0.5798419251211123,200
isolet,test,1800,T,64,0.634700934440464,0.6362927024853525,200
isolet,test,1800,T,128,0.6106491282716205,0.6114485448697438,200
isolet,test,1800,T,256,0.5845223412529366,0.5990307886569777,200
isolet,test,1800,T,512,0.6077984246415045,0.6223001620896221,200
cifar10_gist512,test,1800,E,32,0.5754334122253186,0.5859618455933526,200
cifar10_gist512,test,1800,E,64,0.5599376511625855,0.5684095804330513,200
cifar10_gist512,test,1800,E,128,0.5410243278430871,0.5534871388298367,200
cifar10_gist512,test,1800,E,256,0.538352351888246,0.5439652740524575,200
cifar10_gist512,test,1800,E,512,0.542634236462873,0.5441995830966668,200
cifar10_gist512,test,1800,T,32,0.5390868369068884,0.5591510294482442,200
cifar10_gist512,test,1800,T,64,0.6127550746203756,0.6340678185918649,200
cifar10_gist512,test,1800,T,128,0.6175862713583895,0.6366931043171937,200
cifar10_gist512,test,1800,T,256,0.628405254487592,0.6431038463096607,200
cifar10_gist512,test,1800,T,512,0.6322926159427981,0.6513964269803348,200
cifar10,audit,1800,E,32,0.48759809865748754,0.4985622295778174,200
cifar10,audit,1800,E,64,0.4563807477141885,0.4699726880664992,200
cifar10,audit,1800,E,128,0.43325774169485454,0.4482115793526367,200
cifar10,audit,1800,E,256,0.43675019620721756,0.44644927831200626,200
cifar10,audit,1800,E,512,0.45597713567978404,0.46607514257144655,200
cifar10,audit,1800,T,32,0.49827122162596554,0.5164361649128064,200
cifar10,audit,1800,T,64,0.5715768874772416,0.5911201596392942,200
cifar10,audit,1800,T,128,0.5836514258538525,0.6007694697602216,200
cifar10,audit,1800,T,256,0.601895309321135,0.6178560766134908,200
cifar10,audit,1800,T,512,0.6042479557661495,0.624544856373539,200
isolet,audit,1800,E,32,0.590874517880366,0.5843935873651745,200
isolet,audit,1800,E,64,0.5579767631034276,0.5532078120558395,200
isolet,audit,1800,E,128,0.538179415016276,0.533479148794603,200
isolet,audit,1800,E,256,0.537164626311857,0.5461409493810683,200
isolet,audit,1800,E,512,0.6564994818576191,0.6482779561535094,200
isolet,audit,1800,T,32,0.5668700852862576,0.5705152872804056,200
isolet,audit,1800,T,64,0.6211092450935625,0.6261518824466369,200
isolet,audit,1800,T,128,0.6039705690802175,0.6010962804314826,200
isolet,audit,1800,T,256,0.585633253887468,0.5915362671685253,200
isolet,audit,1800,T,512,0.614133806627799,0.6199258026902518,200
cifar10_gist512,audit,1800,E,32,0.5859745068697345,0.58899551574839,200
cifar10_gist512,audit,1800,E,64,0.568771758583003,0.5692618527108744,200
cifar10_gist512,audit,1800,E,128,0.5557691367407426,0.5530421096951585,200
cifar10_gist512,audit,1800,E,256,0.5465293863148666,0.5447514918013344,200
cifar10_gist512,audit,1800,E,512,0.5541711190450685,0.5447158896980833,200
cifar10_gist512,audit,1800,T,32,0.5545424621237846,0.559189610382168,200
cifar10_gist512,audit,1800,T,64,0.6323295155322091,0.6353743383632737,200
cifar10_gist512,audit,1800,T,128,0.6312222479582996,0.6381069691625264,200
cifar10_gist512,audit,1800,T,256,0.6366267612779775,0.6450163605478834,200
cifar10_gist512,audit,1800,T,512,0.6427233144621296,0.6536135302189363,200
