dataset,phase,n,method,error_target,attained,budget,latency_ms
amazon,test,720,ann_O_multi,0.05,True,128.0,3.974404
amazon,test,720,ann_O_multi,0.1,True,64.0,3.1022385
amazon,test,720,ann_O_multi,0.15,True,64.0,3.1022385
amazon,test,720,ann_O_multi,0.2,True,32.0,2.6611155
amazon,test,720,ann_O_single,0.05,True,256.0,5.3513715
amazon,test,720,ann_O_single,0.1,True,128.0,3.6252645
amazon,test,720,ann_O_single,0.15,True,64.0,2.736783
amazon,test,720,ann_O_single,0.2,True,64.0,2.736783
amazon,test,720,ann_T_multi,0.05,True,256.0,4.8171665
amazon,test,720,ann_T_multi,0.1,True,128.0,3.0777715
amazon,test,720,ann_T_multi,0.15,True,64.0,2.219929
amazon,test,720,ann_T_multi,0.2,True,32.0,1.867165
amazon,test,720,ann_T_single,0.05,True,256.0,4.4380935
amazon,test,720,ann_T_single,0.1,True,128.0,2.692263
amazon,test,720,ann_T_single,0.15,True,64.0,1.8752355
amazon,test,720,ann_T_single,0.2,True,32.0,1.486461
amazon,test,720,exact,0.05,True,0.0,3.2537735
amazon,test,720,exact,0.1,True,0.0,3.2537735
amazon,test,720,exact,0.15,True,0.0,3.2537735
amazon,test,720,exact,0.2,True,0.0,3.2537735
amazon,test,720,exact_annular,0.05,True,512.0,3.223187
amazon,test,720,exact_annular,0.1,True,512.0,3.223187
amazon,test,720,exact_annular,0.15,True,512.0,3.223187
amazon,test,720,exact_annular,0.2,True,512.0,3.223187
amazon,test,720,official_O,0.05,True,256.0,4.5002085
amazon,test,720,official_O,0.1,True,128.0,3.140332
amazon,test,720,official_O,0.15,True,64.0,2.4861265
amazon,test,720,official_O,0.2,True,32.0,2.1436445
amazon,test,720,official_T,0.05,True,256.0,2.171635
amazon,test,720,official_T,0.1,True,128.0,1.640829
amazon,test,720,official_T,0.15,True,64.0,1.374136
amazon,test,720,official_T,0.2,True,32.0,1.2288225
amazon,test,720,projected_current,0.05,True,256.0,3.422781
amazon,test,720,projected_current,0.1,True,128.0,1.80976
amazon,test,720,projected_current,0.15,True,64.0,1.087627
amazon,test,720,projected_current,0.2,True,32.0,0.749902
amazon,test,720,projected_fast,0.05,True,256.0,3.4716915
amazon,test,720,projected_fast,0.1,True,128.0,1.8435355
amazon,test,720,projected_fast,0.15,True,64.0,1.12133
amazon,test,720,projected_fast,0.2,True,32.0,0.782635
amazon,test,720,uniform_mc,0.05,True,512.0,19.4284685
amazon,test,720,uniform_mc,0.1,True,512.0,19.4284685
amazon,test,720,uniform_mc,0.15,True,128.0,1.4878335
amazon,test,720,uniform_mc,0.2,True,128.0,1.4878335
cifar10,audit,1800,ann_E_multi,0.05,True,256.0,2.5821795
cifar10,audit,1800,ann_E_multi,0.1,True,128.0,2.1070815
cifar10,audit,1800,ann_E_multi,0.15,True,64.0,1.8755705
cifar10,audit,1800,ann_E_multi,0.2,True,64.0,1.8755705
cifar10,audit,1800,ann_E_single,0.05,True,256.0,2.297343
cifar10,audit,1800,ann_E_single,0.1,True,256.0,2.297343
cifar10,audit,1800,ann_E_single,0.15,True,128.0,1.8272565
cifar10,audit,1800,ann_E_single,0.2,True,128.0,1.8272565
cifar10,audit,1800,ann_T_multi,0.05,False,,
cifar10,audit,1800,ann_T_multi,0.1,True,256.0,1.336296
cifar10,audit,1800,ann_T_multi,0.15,True,128.0,0.986575
cifar10,audit,1800,ann_T_multi,0.2,True,128.0,0.986575
cifar10,audit,1800,ann_T_single,0.05,False,,
cifar10,audit,1800,ann_T_single,0.1,True,512.0,1.8209715
cifar10,audit,1800,ann_T_single,0.15,True,256.0,1.0481255
cifar10,audit,1800,ann_T_single,0.2,True,128.0,0.7034485
cifar10,audit,1800,exact,0.05,True,0.0,2.3325605
cifar10,audit,1800,exact,0.1,True,0.0,2.3325605
cifar10,audit,1800,exact,0.15,True,0.0,2.3325605
cifar10,audit,1800,exact,0.2,True,0.0,2.3325605
cifar10,audit,1800,exact_annular,0.05,True,512.0,2.6276545
cifar10,audit,1800,exact_annular,0.1,True,128.0,2.5885205
cifar10,audit,1800,exact_annular,0.15,True,64.0,2.573247
cifar10,audit,1800,exact_annular,0.2,True,64.0,2.573247
cifar10,audit,1800,official_E,0.05,True,256.0,1.840719
cifar10,audit,1800,official_E,0.1,True,256.0,1.840719
cifar10,audit,1800,official_E,0.15,True,128.0,1.506673
cifar10,audit,1800,official_E,0.2,True,128.0,1.506673
cifar10,audit,1800,official_O,0.05,True,512.0,0.9696095
cifar10,audit,1800,official_O,0.1,True,256.0,0.659258
cifar10,audit,1800,official_O,0.15,True,128.0,0.5252125
cifar10,audit,1800,official_O,0.2,True,128.0,0.5252125
cifar10,audit,1800,official_T,0.05,False,,
cifar10,audit,1800,official_T,0.1,True,512.0,0.5599415
cifar10,audit,1800,official_T,0.15,True,256.0,0.356716
cifar10,audit,1800,official_T,0.2,True,128.0,0.2648665
cifar10,audit,1800,projected_current,0.05,True,512.0,1.888401
cifar10,audit,1800,projected_current,0.1,True,256.0,1.107543
cifar10,audit,1800,projected_current,0.15,True,128.0,0.755633
cifar10,audit,1800,projected_current,0.2,True,64.0,0.5877745
cifar10,audit,1800,projected_fast,0.05,True,512.0,1.8923755
cifar10,audit,1800,projected_fast,0.1,True,256.0,1.1118985
cifar10,audit,1800,projected_fast,0.15,True,128.0,0.757031
cifar10,audit,1800,projected_fast,0.2,True,64.0,0.5870415
cifar10,audit,1800,uniform_mc,0.05,False,,
cifar10,audit,1800,uniform_mc,0.1,True,512.0,1.5872115
cifar10,audit,1800,uniform_mc,0.15,True,512.0,1.5872115
cifar10,audit,1800,uniform_mc,0.2,True,256.0,0.826563
cifar10,test,1800,ann_E_multi,0.05,True,256.0,2.578878
cifar10,test,1800,ann_E_multi,0.1,True,128.0,2.102178
cifar10,test,1800,ann_E_multi,0.15,True,64.0,1.9761155
cifar10,test,1800,ann_E_multi,0.2,True,64.0,1.9761155
cifar10,test,1800,ann_E_single,0.05,True,256.0,2.2903615
cifar10,test,1800,ann_E_single,0.1,True,256.0,2.2903615
cifar10,test,1800,ann_E_single,0.15,True,128.0,1.8338175
cifar10,test,1800,ann_E_single,0.2,True,128.0,1.8338175
cifar10,test,1800,ann_T_multi,0.05,False,,
cifar10,test,1800,ann_T_multi,0.1,True,512.0,2.167742
cifar10,test,1800,ann_T_multi,0.15,True,128.0,1.0009845
cifar10,test,1800,ann_T_multi,0.2,True,128.0,1.0009845
cifar10,test,1800,ann_T_single,0.05,False,,
cifar10,test,1800,ann_T_single,0.1,True,512.0,1.864744
cifar10,test,1800,ann_T_single,0.15,True,256.0,1.068884
cifar10,test,1800,ann_T_single,0.2,True,128.0,0.725907
cifar10,test,1800,exact,0.05,True,0.0,2.435951
cifar10,test,1800,exact,0.1,True,0.0,2.435951
cifar10,test,1800,exact,0.15,True,0.0,2.435951
cifar10,test,1800,exact,0.2,True,0.0,2.435951
cifar10,test,1800,exact_annular,0.05,True,512.0,2.627073
cifar10,test,1800,exact_annular,0.1,True,512.0,2.627073
cifar10,test,1800,exact_annular,0.15,True,512.0,2.627073
cifar10,test,1800,exact_annular,0.2,True,512.0,2.627073
cifar10,test,1800,official_E,0.05,True,256.0,1.8268135
cifar10,test,1800,official_E,0.1,True,256.0,1.8268135
cifar10,test,1800,official_E,0.15,True,128.0,1.5132745
cifar10,test,1800,official_E,0.2,True,128.0,1.5132745
cifar10,test,1800,official_O,0.05,True,512.0,0.9986735
cifar10,test,1800,official_O,0.1,True,256.0,0.6788935
cifar10,test,1800,official_O,0.15,True,128.0,0.544992
cifar10,test,1800,official_O,0.2,True,128.0,0.544992
cifar10,test,1800,official_T,0.05,False,,
cifar10,test,1800,official_T,0.1,True,512.0,0.579822
cifar10,test,1800,official_T,0.15,True,256.0,0.3637535
cifar10,test,1800,official_T,0.2,True,128.0,0.272966
cifar10,test,1800,projected_current,0.05,True,512.0,1.9097415
cifar10,test,1800,projected_current,0.1,True,256.0,1.1212145
cifar10,test,1800,projected_current,0.15,True,128.0,0.7628405
cifar10,test,1800,projected_current,0.2,True,64.0,0.5939205
cifar10,test,1800,projected_fast,0.05,True,512.0,1.911475
cifar10,test,1800,projected_fast,0.1,True,256.0,1.1259195
cifar10,test,1800,projected_fast,0.15,True,128.0,0.7636185
cifar10,test,1800,projected_fast,0.2,True,64.0,0.595992
cifar10,test,1800,uniform_mc,0.05,False,,
cifar10,test,1800,uniform_mc,0.1,True,512.0,1.6232905
cifar10,test,1800,uniform_mc,0.15,True,512.0,1.6232905
cifar10,test,1800,uniform_mc,0.2,True,256.0,0.8394055
cifar10_gist512,audit,1800,ann_E_multi,0.05,True,256.0,0.7756845
cifar10_gist512,audit,1800,ann_E_multi,0.1,True,128.0,0.694994
cifar10_gist512,audit,1800,ann_E_multi,0.15,True,64.0,0.6545185
cifar10_gist512,audit,1800,ann_E_multi,0.2,True,64.0,0.6545185
cifar10_gist512,audit,1800,ann_E_single,0.05,True,512.0,0.692238
cifar10_gist512,audit,1800,ann_E_single,0.1,True,128.0,0.4558755
cifar10_gist512,audit,1800,ann_E_single,0.15,True,128.0,0.4558755
cifar10_gist512,audit,1800,ann_E_single,0.2,True,64.0,0.4158165
cifar10_gist512,audit,1800,ann_T_multi,0.05,False,,
cifar10_gist512,audit,1800,ann_T_multi,0.1,True,256.0,0.6230175
cifar10_gist512,audit,1800,ann_T_multi,0.15,True,128.0,0.5423585
cifar10_gist512,audit,1800,ann_T_multi,0.2,True,64.0,0.5037315
cifar10_gist512,audit,1800,ann_T_single,0.05,False,,
cifar10_gist512,audit,1800,ann_T_single,0.1,True,512.0,0.5276205
cifar10_gist512,audit,1800,ann_T_single,0.15,True,128.0,0.3020095
cifar10_gist512,audit,1800,ann_T_single,0.2,True,128.0,0.3020095
cifar10_gist512,audit,1800,exact,0.05,True,0.0,0.365527
cifar10_gist512,audit,1800,exact,0.1,True,0.0,0.365527
cifar10_gist512,audit,1800,exact,0.15,True,0.0,0.365527
cifar10_gist512,audit,1800,exact,0.2,True,0.0,0.365527
cifar10_gist512,audit,1800,exact_annular,0.05,True,512.0,0.596178
cifar10_gist512,audit,1800,exact_annular,0.1,True,128.0,0.581319
cifar10_gist512,audit,1800,exact_annular,0.15,True,64.0,0.5764865
cifar10_gist512,audit,1800,exact_annular,0.2,True,32.0,0.5742455
cifar10_gist512,audit,1800,official_E,0.05,True,512.0,0.344527
cifar10_gist512,audit,1800,official_E,0.1,True,128.0,0.250433
cifar10_gist512,audit,1800,official_E,0.15,True,128.0,0.250433
cifar10_gist512,audit,1800,official_E,0.2,True,64.0,0.23124
cifar10_gist512,audit,1800,official_O,0.05,True,512.0,0.227016
cifar10_gist512,audit,1800,official_O,0.1,True,256.0,0.1661975
cifar10_gist512,audit,1800,official_O,0.15,True,128.0,0.132745
cifar10_gist512,audit,1800,official_O,0.2,True,64.0,0.11632
cifar10_gist512,audit,1800,official_T,0.05,False,,
cifar10_gist512,audit,1800,official_T,0.1,True,512.0,0.1556865
cifar10_gist512,audit,1800,official_T,0.15,True,256.0,0.121067
cifar10_gist512,audit,1800,official_T,0.2,True,128.0,0.101025
cifar10_gist512,audit,1800,projected_current,0.05,True,512.0,0.630643
cifar10_gist512,audit,1800,projected_current,0.1,True,256.0,0.490992
cifar10_gist512,audit,1800,projected_current,0.15,True,128.0,0.412222
cifar10_gist512,audit,1800,projected_current,0.2,True,64.0,0.375056
cifar10_gist512,audit,1800,projected_fast,0.05,True,512.0,0.6351245
cifar10_gist512,audit,1800,projected_fast,0.1,True,256.0,0.494874
cifar10_gist512,audit,1800,projected_fast,0.15,True,128.0,0.415194
cifar10_gist512,audit,1800,projected_fast,0.2,True,64.0,0.3762725
cifar10_gist512,audit,1800,uniform_mc,0.05,False,,
cifar10_gist512,audit,1800,uniform_mc,0.1,True,512.0,0.3620515
cifar10_gist512,audit,1800,uniform_mc,0.15,True,256.0,0.22943
cifar10_gist512,audit,1800,uniform_mc,0.2,True,128.0,0.156934
cifar10_gist512,audit,20000,exact,0.05,True,0.0,4.741471
cifar10_gist512,audit,20000,exact,0.1,True,0.0,4.741471
cifar10_gist512,audit,20000,exact,0.15,True,0.0,4.741471
cifar10_gist512,audit,20000,exact,0.2,True,0.0,4.741471
cifar10_gist512,audit,20000,exact_annular,0.05,False,,
cifar10_gist512,audit,20000,exact_annular,0.1,True,128.0,5.249934
cifar10_gist512,audit,20000,exact_annular,0.15,True,128.0,5.249934
cifar10_gist512,audit,20000,exact_annular,0.2,True,128.0,5.249934
cifar10_gist512,audit,20000,official_E,0.05,False,,
cifar10_gist512,audit,20000,official_E,0.1,False,,
cifar10_gist512,audit,20000,official_E,0.15,True,256.0,3.1618315
cifar10_gist512,audit,20000,official_E,0.2,True,128.0,3.10686
cifar10_gist512,audit,20000,official_O,0.05,False,,
cifar10_gist512,audit,20000,official_O,0.1,False,,
cifar10_gist512,audit,20000,official_O,0.15,True,256.0,0.681154
cifar10_gist512,audit,20000,official_O,0.2,True,128.0,0.6325945
cifar10_gist512,audit,20000,official_T,0.05,False,,
cifar10_gist512,audit,20000,official_T,0.1,False,,
cifar10_gist512,audit,20000,official_T,0.15,True,256.0,0.2696465
cifar10_gist512,audit,20000,official_T,0.2,True,256.0,0.2696465
cifar10_gist512,audit,20000,projected_current,0.05,False,,
cifar10_gist512,audit,20000,projected_current,0.1,False,,
cifar10_gist512,audit,20000,projected_current,0.15,True,256.0,1.910476
cifar10_gist512,audit,20000,projected_current,0.2,True,128.0,1.801003
cifar10_gist512,audit,20000,projected_fast,0.05,False,,
cifar10_gist512,audit,20000,projected_fast,0.1,True,256.0,1.138386
cifar10_gist512,audit,20000,projected_fast,0.15,True,256.0,1.138386
cifar10_gist512,audit,20000,projected_fast,0.2,True,128.0,1.035741
cifar10_gist512,audit,20000,uniform_mc,0.05,False,,
cifar10_gist512,audit,20000,uniform_mc,0.1,False,,
cifar10_gist512,audit,20000,uniform_mc,0.15,False,,
cifar10_gist512,audit,20000,uniform_mc,0.2,True,128.0,0.187353
cifar10_gist512,test,1800,ann_E_multi,0.05,True,256.0,0.7847205
cifar10_gist512,test,1800,ann_E_multi,0.1,True,128.0,0.6813095
cifar10_gist512,test,1800,ann_E_multi,0.15,True,64.0,0.63751
cifar10_gist512,test,1800,ann_E_multi,0.2,True,64.0,0.63751
cifar10_gist512,test,1800,ann_E_single,0.05,True,512.0,0.6789745
cifar10_gist512,test,1800,ann_E_single,0.1,True,256.0,0.548809
cifar10_gist512,test,1800,ann_E_single,0.15,True,128.0,0.4596365
cifar10_gist512,test,1800,ann_E_single,0.2,True,64.0,0.4170335
cifar10_gist512,test,1800,ann_T_multi,0.05,False,,
cifar10_gist512,test,1800,ann_T_multi,0.1,True,256.0,0.6253775
cifar10_gist512,test,1800,ann_T_multi,0.15,True,128.0,0.529303
cifar10_gist512,test,1800,ann_T_multi,0.2,True,64.0,0.479907
cifar10_gist512,test,1800,ann_T_single,0.05,False,,
cifar10_gist512,test,1800,ann_T_single,0.1,True,256.0,0.38974
cifar10_gist512,test,1800,ann_T_single,0.15,True,128.0,0.302566
cifar10_gist512,test,1800,ann_T_single,0.2,True,128.0,0.302566
cifar10_gist512,test,1800,exact,0.05,True,0.0,0.383094
cifar10_gist512,test,1800,exact,0.1,True,0.0,0.383094
cifar10_gist512,test,1800,exact,0.15,True,0.0,0.383094
cifar10_gist512,test,1800,exact,0.2,True,0.0,0.383094
cifar10_gist512,test,1800,exact_annular,0.05,True,512.0,0.6112555
cifar10_gist512,test,1800,exact_annular,0.1,True,128.0,0.5938255
cifar10_gist512,test,1800,exact_annular,0.15,True,32.0,0.5846375
cifar10_gist512,test,1800,exact_annular,0.2,True,32.0,0.5846375
cifar10_gist512,test,1800,official_E,0.05,True,512.0,0.3421565
cifar10_gist512,test,1800,official_E,0.1,True,256.0,0.292426
cifar10_gist512,test,1800,official_E,0.15,True,128.0,0.259153
cifar10_gist512,test,1800,official_E,0.2,True,64.0,0.238705
cifar10_gist512,test,1800,official_O,0.05,True,512.0,0.2274145
cifar10_gist512,test,1800,official_O,0.1,True,256.0,0.1746925
cifar10_gist512,test,1800,official_O,0.15,True,128.0,0.1433545
cifar10_gist512,test,1800,official_O,0.2,True,64.0,0.1195785
cifar10_gist512,test,1800,official_T,0.05,False,,
cifar10_gist512,test,1800,official_T,0.1,True,256.0,0.1276655
cifar10_gist512,test,1800,official_T,0.15,True,128.0,0.1068435
