dataset,phase,n,method,time_cap_ms,attained,budget,error
amazon,test,720,ann_O_multi,0.125,False,,
amazon,test,720,ann_O_multi,0.25,False,,
amazon,test,720,ann_O_multi,0.5,False,,
amazon,test,720,ann_O_multi,1.0,False,,
amazon,test,720,ann_O_multi,2.0,False,,
amazon,test,720,ann_O_multi,4.0,True,128.0,0.04199953458011232
amazon,test,720,ann_O_single,0.125,False,,
amazon,test,720,ann_O_single,0.25,False,,
amazon,test,720,ann_O_single,0.5,False,,
amazon,test,720,ann_O_single,1.0,False,,
amazon,test,720,ann_O_single,2.0,False,,
amazon,test,720,ann_O_single,4.0,True,128.0,0.05399408649350386
amazon,test,720,ann_T_multi,0.125,False,,
amazon,test,720,ann_T_multi,0.25,False,,
amazon,test,720,ann_T_multi,0.5,False,,
amazon,test,720,ann_T_multi,1.0,False,,
amazon,test,720,ann_T_multi,2.0,True,32.0,0.15465702552607952
amazon,test,720,ann_T_multi,4.0,True,128.0,0.06634270463390762
amazon,test,720,ann_T_single,0.125,False,,
amazon,test,720,ann_T_single,0.25,False,,
amazon,test,720,ann_T_single,0.5,False,,
amazon,test,720,ann_T_single,1.0,False,,
amazon,test,720,ann_T_single,2.0,True,64.0,0.14686300323471346
amazon,test,720,ann_T_single,4.0,True,128.0,0.08157879859305278
amazon,test,720,exact,0.125,False,,
amazon,test,720,exact,0.25,False,,
amazon,test,720,exact,0.5,False,,
amazon,test,720,exact,1.0,False,,
amazon,test,720,exact,2.0,False,,
amazon,test,720,exact,4.0,True,0.0,0.0
amazon,test,720,exact_annular,0.125,False,,
amazon,test,720,exact_annular,0.25,False,,
amazon,test,720,exact_annular,0.5,False,,
amazon,test,720,exact_annular,1.0,False,,
amazon,test,720,exact_annular,2.0,False,,
amazon,test,720,exact_annular,4.0,True,512.0,0.014976337467173131
amazon,test,720,official_O,0.125,False,,
amazon,test,720,official_O,0.25,False,,
amazon,test,720,official_O,0.5,False,,
amazon,test,720,official_O,1.0,False,,
amazon,test,720,official_O,2.0,False,,
amazon,test,720,official_O,4.0,True,128.0,0.05821163314034008
amazon,test,720,official_T,0.125,False,,
amazon,test,720,official_T,0.25,False,,
amazon,test,720,official_T,0.5,False,,
amazon,test,720,official_T,1.0,False,,
amazon,test,720,official_T,2.0,True,128.0,0.07270177106936214
amazon,test,720,official_T,4.0,True,512.0,0.018480008485943354
amazon,test,720,projected_current,0.125,False,,
amazon,test,720,projected_current,0.25,False,,
amazon,test,720,projected_current,0.5,False,,
amazon,test,720,projected_current,1.0,True,32.0,0.1723340023596204
amazon,test,720,projected_current,2.0,True,128.0,0.06763445121386814
amazon,test,720,projected_current,4.0,True,256.0,0.03494131004400398
amazon,test,720,projected_fast,0.125,False,,
amazon,test,720,projected_fast,0.25,False,,
amazon,test,720,projected_fast,0.5,False,,
amazon,test,720,projected_fast,1.0,True,32.0,0.17400117280519878
amazon,test,720,projected_fast,2.0,True,128.0,0.06791241427766537
amazon,test,720,projected_fast,4.0,True,256.0,0.035672931400656915
amazon,test,720,uniform_mc,0.125,False,,
amazon,test,720,uniform_mc,0.25,False,,
amazon,test,720,uniform_mc,0.5,True,32.0,0.2539216220381336
amazon,test,720,uniform_mc,1.0,True,64.0,0.20754059612339493
amazon,test,720,uniform_mc,2.0,True,128.0,0.14773525773376023
amazon,test,720,uniform_mc,4.0,True,256.0,0.10827364730387959
cifar10,audit,1800,ann_E_multi,0.125,False,,
cifar10,audit,1800,ann_E_multi,0.25,False,,
cifar10,audit,1800,ann_E_multi,0.5,False,,
cifar10,audit,1800,ann_E_multi,1.0,False,,
cifar10,audit,1800,ann_E_multi,2.0,True,64.0,0.1460899620855586
cifar10,audit,1800,ann_E_multi,4.0,True,512.0,0.00827529906108294
cifar10,audit,1800,ann_E_single,0.125,False,,
cifar10,audit,1800,ann_E_single,0.25,False,,
cifar10,audit,1800,ann_E_single,0.5,False,,
cifar10,audit,1800,ann_E_single,1.0,False,,
cifar10,audit,1800,ann_E_single,2.0,True,128.0,0.10365734562538234
cifar10,audit,1800,ann_E_single,4.0,True,512.0,0.012144455329098162
cifar10,audit,1800,ann_T_multi,0.125,False,,
cifar10,audit,1800,ann_T_multi,0.25,False,,
cifar10,audit,1800,ann_T_multi,0.5,False,,
cifar10,audit,1800,ann_T_multi,1.0,True,128.0,0.14755409730535246
cifar10,audit,1800,ann_T_multi,2.0,True,256.0,0.09429415103580396
cifar10,audit,1800,ann_T_multi,4.0,True,512.0,0.06511013886186151
cifar10,audit,1800,ann_T_single,0.125,False,,
cifar10,audit,1800,ann_T_single,0.25,False,,
cifar10,audit,1800,ann_T_single,0.5,True,32.0,0.4028758806692894
cifar10,audit,1800,ann_T_single,1.0,True,128.0,0.19305441156491931
cifar10,audit,1800,ann_T_single,2.0,True,512.0,0.08010556912449544
cifar10,audit,1800,ann_T_single,4.0,True,512.0,0.08010556912449544
cifar10,audit,1800,exact,0.125,False,,
cifar10,audit,1800,exact,0.25,False,,
cifar10,audit,1800,exact,0.5,False,,
cifar10,audit,1800,exact,1.0,False,,
cifar10,audit,1800,exact,2.0,False,,
cifar10,audit,1800,exact,4.0,True,0.0,0.0
cifar10,audit,1800,exact_annular,0.125,False,,
cifar10,audit,1800,exact_annular,0.25,False,,
cifar10,audit,1800,exact_annular,0.5,False,,
cifar10,audit,1800,exact_annular,1.0,False,,
cifar10,audit,1800,exact_annular,2.0,False,,
cifar10,audit,1800,exact_annular,4.0,True,512.0,0.04258576430225057
cifar10,audit,1800,official_E,0.125,False,,
cifar10,audit,1800,official_E,0.25,False,,
cifar10,audit,1800,official_E,0.5,False,,
cifar10,audit,1800,official_E,1.0,False,,
cifar10,audit,1800,official_E,2.0,True,256.0,0.04297444045727876
cifar10,audit,1800,official_E,4.0,True,512.0,0.012783298132933647
cifar10,audit,1800,official_O,0.125,False,,
cifar10,audit,1800,official_O,0.25,False,,
cifar10,audit,1800,official_O,0.5,True,64.0,0.23750444287068512
cifar10,audit,1800,official_O,1.0,True,512.0,0.046701371805981606
cifar10,audit,1800,official_O,2.0,True,512.0,0.046701371805981606
cifar10,audit,1800,official_O,4.0,True,512.0,0.046701371805981606
cifar10,audit,1800,official_T,0.125,False,,
cifar10,audit,1800,official_T,0.25,True,64.0,0.2951718630466838
cifar10,audit,1800,official_T,0.5,True,256.0,0.11430691439031214
