dataset,phase,n,method,budget,error,latency_ms,dominated_by_any,dominated_by_existing,any_dominator_method,any_dominator_budget,existing_dominator_method,existing_dominator_budget
amazon,test,720,ann_O_multi,32,0.158264650262007,2.6611155,True,True,projected_current,64.0,projected_current,64.0
amazon,test,720,ann_O_multi,64,0.0843776888088788,3.1022385,True,True,official_T,128.0,official_T,128.0
amazon,test,720,ann_O_multi,128,0.0419995345801123,3.974404,True,True,exact_annular,512.0,exact_annular,512.0
amazon,test,720,ann_O_multi,256,0.0161388112667604,5.7429005,True,True,exact_annular,512.0,exact_annular,512.0
amazon,test,720,ann_O_multi,512,0.0040586933941367,9.415363,True,True,exact,0.0,exact,0.0
amazon,test,720,ann_O_single,32,0.2053712465792732,2.2850675,True,True,projected_current,32.0,projected_current,32.0
amazon,test,720,ann_O_single,64,0.1172068992815457,2.736783,True,True,projected_current,64.0,projected_current,64.0
amazon,test,720,ann_O_single,128,0.0539940864935038,3.6252645,True,True,official_T,256.0,official_T,256.0
amazon,test,720,ann_O_single,256,0.0200602558008025,5.3513715,True,True,exact_annular,512.0,exact_annular,512.0
amazon,test,720,ann_O_single,512,0.0047504307944154,8.979181,True,True,exact,0.0,exact,0.0
amazon,test,720,ann_T_multi,32,0.1546570255260795,1.867165,True,True,projected_current,64.0,projected_current,64.0
amazon,test,720,ann_T_multi,64,0.1190053211379799,2.219929,True,True,projected_current,64.0,projected_current,64.0
amazon,test,720,ann_T_multi,128,0.0663427046339076,3.0777715,True,True,official_T,256.0,official_T,256.0
amazon,test,720,ann_T_multi,256,0.0406807024974073,4.8171665,True,True,exact_annular,512.0,exact_annular,512.0
amazon,test,720,ann_T_multi,512,0.017239825972953,20.188466,True,True,exact_annular,512.0,exact_annular,512.0
amazon,test,720,ann_T_single,32,0.1991050689038819,1.486461,True,True,projected_current,32.0,projected_current,32.0
amazon,test,720,ann_T_single,64,0.1468630032347134,1.8752355,True,True,projected_current,64.0,projected_current,64.0
amazon,test,720,ann_T_single,128,0.0815787985930527,2.692263,True,True,official_T,128.0,official_T,128.0
amazon,test,720,ann_T_single,256,0.0486366424991338,4.4380935,True,True,official_T,256.0,official_T,256.0
amazon,test,720,ann_T_single,512,0.0195483459847655,19.710333,True,True,exact_annular,512.0,exact_annular,512.0
amazon,test,720,exact_annular,32,0.1059676961972881,3.454329,True,True,official_T,128.0,official_T,128.0
amazon,test,720,exact_annular,64,0.0733585694668795,3.581818,True,True,official_T,128.0,official_T,128.0
amazon,test,720,exact_annular,128,0.050290650748593,3.4741015,True,True,official_T,256.0,official_T,256.0
amazon,test,720,exact_annular,256,0.0304713290499865,3.37007,True,True,exact_annular,512.0,exact_annular,512.0
amazon,test,720,exact_annular,512,0.0149763374671731,3.223187,False,False,,,,
amazon,test,720,official_O,32,0.1981310842274236,2.1436445,True,True,projected_current,32.0,projected_current,32.0
amazon,test,720,official_O,64,0.1171208676417338,2.4861265,True,True,projected_current,64.0,projected_current,64.0
amazon,test,720,official_O,128,0.05821163314034,3.140332,True,True,official_T,256.0,official_T,256.0
amazon,test,720,official_O,256,0.0203905692742681,4.5002085,True,True,exact_annular,512.0,exact_annular,512.0
amazon,test,720,official_O,512,0.0047090052990762,8.418282,True,True,exact,0.0,exact,0.0
amazon,test,720,official_T,32,0.1917938505455416,1.2288225,True,True,projected_current,32.0,projected_current,32.0
amazon,test,720,official_T,64,0.1275354253921435,1.374136,True,True,projected_current,64.0,projected_current,64.0
amazon,test,720,official_T,128,0.0727017710693621,1.640829,False,False,,,,
amazon,test,720,official_T,256,0.0430281933450163,2.171635,False,False,,,,
amazon,test,720,official_T,512,0.0184800084859433,3.5325185,True,True,exact_annular,512.0,exact_annular,512.0
amazon,test,720,projected_current,32,0.1723340023596204,0.749902,False,False,,,,
amazon,test,720,projected_current,64,0.1135881801539139,1.087627,False,False,,,,
amazon,test,720,projected_current,128,0.0676344512138681,1.80976,False,False,,,,
amazon,test,720,projected_current,256,0.0349413100440039,3.422781,True,True,exact_annular,512.0,exact_annular,512.0
amazon,test,720,projected_current,512,0.0126031333423477,19.8915455,True,True,exact,0.0,exact,0.0
amazon,test,720,projected_fast,32,0.1740011728051987,0.782635,True,True,projected_current,32.0,projected_current,32.0
amazon,test,720,projected_fast,64,0.1138947744744739,1.12133,True,True,projected_current,64.0,projected_current,64.0
amazon,test,720,projected_fast,128,0.0679124142776653,1.8435355,True,True,projected_current,128.0,projected_current,128.0
amazon,test,720,projected_fast,256,0.0356729314006569,3.4716915,True,True,exact_annular,512.0,exact_annular,512.0
amazon,test,720,projected_fast,512,0.01282611066069,19.8889195,True,True,exact,0.0,exact,0.0
amazon,test,720,uniform_mc,32,0.2539216220381336,0.420678,False,False,,,,
amazon,test,720,uniform_mc,64,0.2075405961233949,0.7689895,True,True,projected_current,32.0,projected_current,32.0
amazon,test,720,uniform_mc,128,0.1477352577337602,1.4878335,True,True,projected_current,64.0,projected_current,64.0
amazon,test,720,uniform_mc,256,0.1082736473038795,3.1317125,True,True,official_T,128.0,official_T,128.0
amazon,test,720,uniform_mc,512,0.0475147407321436,19.4284685,True,True,official_T,256.0,official_T,256.0
amazon,test,720,exact,0,0.0,3.2537735,False,False,,,,
cifar10,audit,1800,ann_E_multi,32,0.2672760404327545,1.881866,True,True,official_T,128.0,official_T,128.0
cifar10,audit,1800,ann_E_multi,64,0.1460899620855586,1.8755705,True,True,official_T,256.0,official_T,256.0
cifar10,audit,1800,ann_E_multi,128,0.0654091058042797,2.1070815,True,True,official_O,512.0,official_O,512.0
cifar10,audit,1800,ann_E_multi,256,0.0277889306105652,2.5821795,True,True,projected_current,512.0,projected_current,512.0
cifar10,audit,1800,ann_E_multi,512,0.0082752990610829,3.475491,True,True,exact,0.0,exact,0.0
cifar10,audit,1800,ann_E_single,32,0.3575487530028883,1.6169105,True,True,official_T,64.0,official_T,64.0
cifar10,audit,1800,ann_E_single,64,0.204883470928732,1.5773945,True,True,official_T,128.0,official_T,128.0
cifar10,audit,1800,ann_E_single,128,0.1036573456253823,1.8272565,True,True,official_T,512.0,official_T,512.0
cifar10,audit,1800,ann_E_single,256,0.0424926052074216,2.297343,True,True,projected_current,512.0,projected_current,512.0
cifar10,audit,1800,ann_E_single,512,0.0121444553290981,3.173721,True,True,exact,0.0,exact,0.0
cifar10,audit,1800,ann_T_multi,32,0.2890594354428563,0.7356785,True,True,official_T,128.0,official_T,128.0
cifar10,audit,1800,ann_T_multi,64,0.2198765297316839,0.8042705,True,True,official_T,128.0,official_T,128.0
cifar10,audit,1800,ann_T_multi,128,0.1475540973053524,0.986575,True,True,official_T,256.0,official_T,256.0
cifar10,audit,1800,ann_T_multi,256,0.0942941510358039,1.336296,True,True,official_T,512.0,official_T,512.0
cifar10,audit,1800,ann_T_multi,512,0.0651101388618615,2.1376475,True,True,official_O,512.0,official_O,512.0
cifar10,audit,1800,ann_T_single,32,0.4028758806692894,0.449008,True,True,official_T,64.0,official_T,64.0
cifar10,audit,1800,ann_T_single,64,0.2776530521166729,0.5179995,True,True,official_T,128.0,official_T,128.0
cifar10,audit,1800,ann_T_single,128,0.1930544115649193,0.7034485,True,True,official_T,128.0,official_T,128.0
cifar10,audit,1800,ann_T_single,256,0.1242047404934583,1.0481255,True,True,official_T,256.0,official_T,256.0
cifar10,audit,1800,ann_T_single,512,0.0801055691244954,1.8209715,True,True,official_T,512.0,official_T,512.0
cifar10,audit,1800,exact_annular,32,0.1815245318204683,3.0138665,True,True,official_T,128.0,official_T,128.0
cifar10,audit,1800,exact_annular,64,0.1272375866707865,2.573247,True,True,official_T,256.0,official_T,256.0
cifar10,audit,1800,exact_annular,128,0.0898488156888671,2.5885205,True,True,official_T,512.0,official_T,512.0
cifar10,audit,1800,exact_annular,256,0.0677618443240138,2.638103,True,True,official_O,512.0,official_O,512.0
cifar10,audit,1800,exact_annular,512,0.0425857643022505,2.6276545,True,True,projected_current,512.0,projected_current,512.0
cifar10,audit,1800,official_E,32,0.3973974969471298,1.4314805,True,True,official_T,64.0,official_T,64.0
cifar10,audit,1800,official_E,64,0.2091727498588502,1.341248,True,True,official_T,128.0,official_T,128.0
cifar10,audit,1800,official_E,128,0.1017854547539363,1.506673,True,True,official_T,512.0,official_T,512.0
cifar10,audit,1800,official_E,256,0.0429744404572787,1.840719,False,False,,,,
cifar10,audit,1800,official_E,512,0.0127832981329336,2.4981235,True,True,exact,0.0,exact,0.0
cifar10,audit,1800,official_O,32,0.3652932692909645,0.494781,True,True,official_T,64.0,official_T,64.0
cifar10,audit,1800,official_O,64,0.2375044428706851,0.460601,True,True,official_T,128.0,official_T,128.0
cifar10,audit,1800,official_O,128,0.1354874828995538,0.5252125,True,True,official_T,256.0,official_T,256.0
cifar10,audit,1800,official_O,256,0.0782398114151706,0.659258,False,False,,,,
cifar10,audit,1800,official_O,512,0.0467013718059816,0.9696095,False,False,,,,
cifar10,audit,1800,official_T,32,0.3976260163277957,0.2184455,True,True,official_T,64.0,official_T,64.0
cifar10,audit,1800,official_T,64,0.2951718630466838,0.2106355,False,False,,,,
cifar10,audit,1800,official_T,128,0.1808987352799961,0.2648665,False,False,,,,
cifar10,audit,1800,official_T,256,0.1143069143903121,0.356716,False,False,,,,
cifar10,audit,1800,official_T,512,0.0796135134181459,0.5599415,False,False,,,,
cifar10,audit,1800,projected_current,32,0.3029170753414137,0.48867,True,True,official_T,64.0,official_T,64.0
cifar10,audit,1800,projected_current,64,0.1929145210664593,0.5877745,True,True,official_T,128.0,official_T,128.0
cifar10,audit,1800,projected_current,128,0.1159845074998871,0.755633,True,True,official_T,256.0,official_T,256.0
cifar10,audit,1800,projected_current,256,0.0582866966018764,1.107543,True,True,official_O,512.0,official_O,512.0
cifar10,audit,1800,projected_current,512,0.0260222301796954,1.888401,False,False,,,,
cifar10,audit,1800,projected_fast,32,0.3125336723773644,0.488746,True,True,official_T,64.0,official_T,64.0
cifar10,audit,1800,projected_fast,64,0.1936567805877067,0.5870415,True,True,official_T,128.0,official_T,128.0
cifar10,audit,1800,projected_fast,128,0.1133785224039462,0.757031,True,True,official_T,512.0,official_T,512.0
cifar10,audit,1800,projected_fast,256,0.0570652660255731,1.1118985,True,True,official_O,512.0,official_O,512.0
cifar10,audit,1800,projected_fast,512,0.0271086687249094,1.8923755,True,True,projected_current,512.0,projected_current,512.0
cifar10,audit,1800,uniform_mc,32,0.4237192203886764,0.211363,True,True,official_T,64.0,official_T,64.0
cifar10,audit,1800,uniform_mc,64,0.323390257873814,0.2912515,True,True,official_T,64.0,official_T,64.0
cifar10,audit,1800,uniform_mc,128,0.2221133926507214,0.4687825,True,True,official_T,128.0,official_T,128.0
cifar10,audit,1800,uniform_mc,256,0.1541218866706436,0.826563,True,True,official_T,256.0,official_T,256.0
cifar10,audit,1800,uniform_mc,512,0.0980307608992781,1.5872115,True,True,official_T,512.0,official_T,512.0
cifar10,audit,1800,exact,0,0.0,2.3325605,False,False,,,,
cifar10,test,1800,ann_E_multi,32,0.2592074914478665,1.852112,True,True,official_T,128.0,official_T,128.0
cifar10,test,1800,ann_E_multi,64,0.1390990067009183,1.9761155,True,True,official_T,256.0,official_T,256.0
cifar10,test,1800,ann_E_multi,128,0.066584861079687,2.102178,True,True,official_O,512.0,official_O,512.0
cifar10,test,1800,ann_E_multi,256,0.0281204574961428,2.578878,True,True,projected_current,512.0,projected_current,512.0
cifar10,test,1800,ann_E_multi,512,0.0089159687352369,3.480822,True,True,exact,0.0,exact,0.0
cifar10,test,1800,ann_E_single,32,0.3689998183971998,1.5849745,True,True,official_T,64.0,official_T,64.0
cifar10,test,1800,ann_E_single,64,0.207066823962984,1.714788,True,True,official_T,128.0,official_T,128.0
cifar10,test,1800,ann_E_single,128,0.1000778727525755,1.8338175,True,True,official_T,512.0,official_T,512.0
