dataset,phase,n,budget,relative_reduction,ci_low,ci_high,queries
amazon,test,720,32,-0.043649703561265296,-0.04694583855183835,-0.03999821400000693,200
amazon,test,720,64,-0.030987645580700107,-0.035930061497318935,-0.026211172912970718,200
amazon,test,720,128,-0.018662971885774926,-0.024998914033696758,-0.012492270953133124,200
amazon,test,720,256,-0.014289696010349573,-0.023106905510872945,-0.005952022323731499,200
amazon,test,720,512,0.0001320158858445497,-0.0033907461603551623,0.003060544737710499,200
cifar10,test,1800,32,0.0021638083836452715,-0.0014724972539896409,0.005476433885028864,200
cifar10,test,1800,64,-0.0034878405443152793,-0.007242069098714271,-0.0005529099022037531,200
cifar10,test,1800,128,-0.0010198724372918466,-0.004247689043354435,0.002134215582023882,200
cifar10,test,1800,256,-0.004196342448300472,-0.007711772416460145,-0.002101122109066701,200
cifar10,test,1800,512,-0.0009077144733986575,-0.005078448144028208,0.004425097808494757,200
isolet,test,1800,32,0.0010043302137170418,-0.0037217493959867784,0.004506177429828909,200
isolet,test,1800,64,0.0032573116675574942,-0.0003385487873558412,0.006036859174602404,200
isolet,test,1800,128,-0.004307201323837884,-0.006647560588475637,-0.0022410038952580483,200
isolet,test,1800,256,-0.00478735577757794,-0.006304611902674601,-0.003176080497127865,200
isolet,test,1800,512,-0.006177000505010133,-0.008332489738839637,-0.004723700697726769,200
cifar10_gist512,test,1800,32,-0.007271030785247268,-0.011799205264146472,-0.0031304116621038917,200
cifar10_gist512,test,1800,64,-0.007271887480074124,-0.01048941172837301,-0.002579130155791943,200
cifar10_gist512,test,1800,128,-0.007524797486155643,-0.010733427625044612,-0.004126048270090255,200
cifar10_gist512,test,1800,256,-0.008284079172346637,-0.010702501521940615,-0.005961545676233066,200
cifar10_gist512,test,1800,512,-0.005016316801660148,-0.006569631833026923,-0.0033361136257245906,200
cifar10,audit,1800,32,-0.0001555241778705696,-0.00434912977143736,0.0034804573200896845,200
cifar10,audit,1800,64,0.001247076897687771,-0.002292940141710231,0.0037901579653141556,200
cifar10,audit,1800,128,-0.0018501044819376755,-0.005170190545451958,0.000605021453151094,200
cifar10,audit,1800,256,-0.003932578689947119,-0.006877356040116927,-0.0013554448890418026,200
cifar10,audit,1800,512,-0.00210469068804775,-0.0064780241541878445,0.0028674674763542176,200
isolet,audit,1800,32,-0.001098521486804005,-0.005969956443216217,0.00370964195706188,200
isolet,audit,1800,64,-0.00302489003112405,-0.006582874122199223,0.00025980673642475246,200
isolet,audit,1800,128,-0.006008080603609134,-0.008213280331955642,-0.003497691042005002,200
isolet,audit,1800,256,-0.005498472213008254,-0.006877882642442218,-0.003953524786828073,200
isolet,audit,1800,512,-0.004736512364739154,-0.006110875785086301,-0.003536571842323655,200
cifar10_gist512,audit,1800,32,-0.0035936205902029617,-0.007980078465617314,6.765598512192474e-05,200
cifar10_gist512,audit,1800,64,-0.003243515634998584,-0.006658839126070071,-0.00031147635039415205,200
cifar10_gist512,audit,1800,128,-0.007209707390677833,-0.009477550898622011,-0.004714254000441349,200
cifar10_gist512,audit,1800,256,-0.00790644246749439,-0.009208252245189296,-0.006110891015058035,200
cifar10_gist512,audit,1800,512,-0.007106239187622876,-0.008359895605099161,-0.005715690202869401,200
cifar10_gist512,audit,20000,64,0.42947201204926533,0.42551574588773144,0.43399835645372015,100
cifar10_gist512,audit,20000,128,0.4249087869370567,0.42038531991917516,0.42987549007579584,100
cifar10_gist512,audit,20000,256,0.4041348857562199,0.40039567072122784,0.4088730383053329,100
