dataset,phase,n,method,axis,target,baseline_method,baseline_budget,baseline_value,candidate_budget,candidate_value,relative_gain
amazon,test,720,ann_O_multi,error_target,0.05,official_T,256.0,2.171635,128.0,3.974404,-0.8301436475282447
amazon,test,720,ann_O_multi,error_target,0.1,official_T,128.0,1.640829,64.0,3.1022385,-0.8906531393582144
amazon,test,720,ann_O_multi,error_target,0.15,projected_current,64.0,1.087627,64.0,3.1022385,-1.8523000072635196
amazon,test,720,ann_O_multi,error_target,0.2,projected_current,32.0,0.749902,32.0,2.6611155,-2.5486176860443104
amazon,test,720,ann_T_multi,error_target,0.05,official_T,256.0,2.171635,256.0,4.8171665,-1.2182210638528113
amazon,test,720,ann_T_multi,error_target,0.1,official_T,128.0,1.640829,128.0,3.0777715,-0.8757417744323142
amazon,test,720,ann_T_multi,error_target,0.15,projected_current,64.0,1.087627,64.0,2.219929,-1.0410756628881042
amazon,test,720,ann_T_multi,error_target,0.2,projected_current,32.0,0.749902,32.0,1.867165,-1.4898786774805242
cifar10,audit,1800,ann_E_multi,error_target,0.05,official_O,512.0,0.9696095,256.0,2.5821795,-1.6631128304745366
cifar10,audit,1800,ann_E_multi,error_target,0.1,official_T,512.0,0.5599415,128.0,2.1070815,-2.7630386388578096
cifar10,audit,1800,ann_E_multi,error_target,0.15,official_T,256.0,0.356716,64.0,1.8755705,-4.257881620112359
cifar10,audit,1800,ann_E_multi,error_target,0.2,official_T,128.0,0.2648665,64.0,1.8755705,-6.081191845703401
cifar10,audit,1800,ann_T_multi,error_target,0.05,official_O,512.0,0.9696095,,,
cifar10,audit,1800,ann_T_multi,error_target,0.1,official_T,512.0,0.5599415,256.0,1.336296,-1.3864921603417502
cifar10,audit,1800,ann_T_multi,error_target,0.15,official_T,256.0,0.356716,128.0,0.986575,-1.7657155832651186
cifar10,audit,1800,ann_T_multi,error_target,0.2,official_T,128.0,0.2648665,128.0,0.986575,-2.7248009846469823
cifar10,test,1800,ann_E_multi,error_target,0.05,official_O,512.0,0.9986735,256.0,2.578878,-1.582303425493918
cifar10,test,1800,ann_E_multi,error_target,0.1,official_T,512.0,0.579822,128.0,2.102178,-2.62555749868063
cifar10,test,1800,ann_E_multi,error_target,0.15,official_T,256.0,0.3637535,64.0,1.9761155,-4.432567659142799
cifar10,test,1800,ann_E_multi,error_target,0.2,official_T,128.0,0.272966,64.0,1.9761155,-6.23941992775657
cifar10,test,1800,ann_T_multi,error_target,0.05,official_O,512.0,0.9986735,,,
cifar10,test,1800,ann_T_multi,error_target,0.1,official_T,512.0,0.579822,512.0,2.167742,-2.738633580650614
cifar10,test,1800,ann_T_multi,error_target,0.15,official_T,256.0,0.3637535,128.0,1.0009845,-1.7518209446781952
cifar10,test,1800,ann_T_multi,error_target,0.2,official_T,128.0,0.272966,128.0,1.0009845,-2.6670665943743908
