dataset,phase,n,method,budget,mean_relative_error,median_error,p90_error,se_query_cluster,median_latency_ms,queries,actual_kernel_evaluations,actual_samples
amazon,test,720,ann_O_multi,32,0.15826465026200706,0.15729756818406693,0.23714545265324488,0.004471559023906616,2.6611155,200,32.0,32.0
amazon,test,720,ann_O_multi,64,0.08437768880887887,0.0845477453938985,0.12647323996982715,0.0022063910141541312,3.1022385,200,64.0,64.0
amazon,test,720,ann_O_multi,128,0.04199953458011232,0.0407099135699606,0.06144784992813358,0.0011767297233031444,3.974404,200,128.0,128.0
amazon,test,720,ann_O_multi,256,0.01613881126676049,0.0160954037532257,0.02477854955912456,0.0004735080107362107,5.7429005,200,256.0,256.0
amazon,test,720,ann_O_multi,512,0.004058693394136731,0.003914336955976025,0.00611610553811098,0.00012112748817035591,9.415363,200,512.0,512.0
amazon,test,720,ann_O_single,32,0.20537124657927322,0.20217239129444814,0.317011434921296,0.0059450810993160064,2.2850675,200,32.0,32.0
amazon,test,720,ann_O_single,64,0.11720689928154578,0.1144461645478822,0.17344106554601146,0.003218756373959304,2.736783,200,64.0,64.0
amazon,test,720,ann_O_single,128,0.05399408649350386,0.0553934074307013,0.07845668031888925,0.001433243912410875,3.6252645,200,128.0,128.0
amazon,test,720,ann_O_single,256,0.020060255800802503,0.0198768795233124,0.030679361666845102,0.0005627134911063391,5.3513715,200,256.0,256.0
amazon,test,720,ann_O_single,512,0.004750430794415489,0.004672948593378001,0.007320513155755981,0.0001606692717470833,8.979181,200,512.0,512.0
amazon,test,720,ann_T_multi,32,0.15465702552607952,0.14402937982893851,0.23748906972540346,0.0058991541959643136,1.867165,200,32.0,32.0
amazon,test,720,ann_T_multi,64,0.11900532113797993,0.10111408863145852,0.1549362099331037,0.015081882352100113,2.219929,200,64.0,64.0
amazon,test,720,ann_T_multi,128,0.06634270463390762,0.05917618881712221,0.09413792894263696,0.0048745536677494705,3.0777715,200,128.0,128.0
amazon,test,720,ann_T_multi,256,0.040680702497407316,0.032914818730749404,0.055424455840464015,0.005849454889453154,4.8171665,200,256.0,256.0
amazon,test,720,ann_T_multi,512,0.017239825972953003,0.0111153602702561,0.02509211379147876,0.0038099732894475657,20.188466,200,512.0,512.0
amazon,test,720,ann_T_single,32,0.1991050689038819,0.1848926865801389,0.28402922855555246,0.006732912948982202,1.486461,200,32.0,32.0
amazon,test,720,ann_T_single,64,0.14686300323471346,0.13121486404491972,0.2028754789235345,0.015166965869863056,1.8752355,200,64.0,64.0
amazon,test,720,ann_T_single,128,0.08157879859305278,0.07503235679607931,0.11938332538351376,0.0051011002932594696,2.692263,200,128.0,128.0
amazon,test,720,ann_T_single,256,0.04863664249913386,0.0416755978461507,0.06310506405390474,0.00585301327826582,4.4380935,200,256.0,256.0
amazon,test,720,ann_T_single,512,0.01954834598476551,0.015846092184784,0.028048940732938895,0.002767587088940583,19.710333,200,512.0,512.0
amazon,test,720,exact,32,0.0,0.0,0.0,0.0,3.2537735,200,720.0,720.0
amazon,test,720,exact,64,0.0,0.0,0.0,0.0,3.3784165,200,720.0,720.0
amazon,test,720,exact,128,0.0,0.0,0.0,0.0,3.2625995,200,720.0,720.0
amazon,test,720,exact,256,0.0,0.0,0.0,0.0,3.148303,200,720.0,720.0
amazon,test,720,exact,512,0.0,0.0,0.0,0.0,2.965105,200,720.0,720.0
amazon,test,720,exact_annular,32,0.1059676961972881,0.10277874304981352,0.15388386292184417,0.0030580309635310794,3.454329,200,32.0,32.0
amazon,test,720,exact_annular,64,0.07335856946687958,0.0713123163786801,0.11024993542310733,0.0021803878231326165,3.581818,200,64.0,64.0
amazon,test,720,exact_annular,128,0.05029065074859305,0.049525168954921206,0.07512017617302046,0.0014373362460143708,3.4741015,200,128.0,128.0
amazon,test,720,exact_annular,256,0.030471329049986576,0.029772357048157505,0.047476143329667125,0.0009272909387670919,3.37007,200,256.0,256.0
amazon,test,720,exact_annular,512,0.014976337467173131,0.014744886187780401,0.023559697205948582,0.00044457544512774175,3.223187,200,512.0,512.0
amazon,test,720,official_O,32,0.19813108422742365,0.19179864558517873,0.3039985809542492,0.005641542906886664,2.1436445,200,32.718,32.0
amazon,test,720,official_O,64,0.11712086764173385,0.1183496521421358,0.17807519313214829,0.0033331908857005543,2.4861265,200,66.952,64.0
amazon,test,720,official_O,128,0.05821163314034008,0.0588620527510416,0.08192689701204013,0.00140609786704267,3.140332,200,140.572,128.0
amazon,test,720,official_O,256,0.02039056927426819,0.019731097774691102,0.0320419667338791,0.0006183275807992685,4.5002085,200,311.284,256.0
amazon,test,720,official_O,512,0.004709005299076263,0.004602850069247126,0.007509175735688281,0.00013719853087468188,8.418282,200,794.39,512.0
amazon,test,720,official_T,32,0.19179385054554168,0.18671941285335492,0.2908865455774756,0.006731774043631577,1.2288225,200,32.302,32.0
amazon,test,720,official_T,64,0.12753542539214352,0.11715762980433611,0.19087512198226153,0.00574280352927349,1.374136,200,65.18,64.0
amazon,test,720,official_T,128,0.07270177106936214,0.0670292755745189,0.10346671095771738,0.004916666261600596,1.640829,200,133.156,128.0
amazon,test,720,official_T,256,0.04302819334501632,0.037770125297433205,0.051653384527626384,0.005808329559402549,2.171635,200,276.89,256.0
amazon,test,720,official_T,512,0.018480008485943354,0.0146843509111803,0.022842172007504623,0.0032624863312315684,3.5325185,200,599.366,512.0
amazon,test,720,projected_current,32,0.1723340023596204,0.1727983927514678,0.26538880050591634,0.004798196817837548,0.749902,200,32.0,32.0
amazon,test,720,projected_current,64,0.11358818015391396,0.1108369586466863,0.17400744763673878,0.003254196699153337,1.087627,200,64.0,64.0
amazon,test,720,projected_current,128,0.06763445121386814,0.0665611716348477,0.1036922306514683,0.0019496404768734694,1.80976,200,128.0,128.0
amazon,test,720,projected_current,256,0.03494131004400398,0.0336086318097409,0.05374597859005976,0.001064005210247351,3.422781,200,256.0,256.0
amazon,test,720,projected_current,512,0.012603133342347757,0.012061537709670403,0.019877960642815443,0.000425785218605375,19.8915455,200,512.0,512.0
amazon,test,720,projected_fast,32,0.17400117280519878,0.16869954929081232,0.270202960607334,0.005234588499782692,0.782635,200,32.0,32.0
amazon,test,720,projected_fast,64,0.11389477447447391,0.11364481109015662,0.16883227822350633,0.0032850531072416787,1.12133,200,64.0,64.0
amazon,test,720,projected_fast,128,0.06791241427766537,0.0667036964899917,0.10232098418845278,0.0020844442167680887,1.8435355,200,128.0,128.0
amazon,test,720,projected_fast,256,0.035672931400656915,0.033888469824716105,0.056294439003230584,0.0010807537444577945,3.4716915,200,256.0,256.0
